# Korea Ownership Ledger — officer/major-shareholder rows — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 32,535 rows. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,person_name,is_registered_officer,title,relationship,shares_held,shares_change,stake_pct,stake_change_pct
386380,Sky Labs Inc.,주식회사 스카이랩스,20260911000070,2026-09-11,모루자산운용,,-,10%이상주주,1630334,1630334,8.69,8.69
172670,"ALT Co.,Ltd.",(주)에이엘티,20260909000012,2026-09-09,천병태,registered,대표이사,10%이상주주,1690258,9843,18.86,0.11
108490,ROBOTIS,(주)로보티즈,20260908000413,2026-09-08,김병수,registered,대표이사,10%이상주주,3108095,-366525,21.19,-2.53
306040,"SJ Group Co., Ltd.",주식회사 에스제이그룹,20260908000188,2026-09-08,이주영,registered,대표이사,사실상지배주주,3343454,57100,36,0.61
143160,"INTELLIGENT DIGITAL INTEGRATED SECURITY CO., LTD.",(주)아이디스,20260908000264,2026-09-08,아이디스홀딩스,,-,사실상지배주주,5154324,8711,48.1,0.08
032080,AZTECH WB CO. LTD,(주)아즈텍더블유비이,20260908000255,2026-09-08,유송코퍼레이션,,-,사실상지배주주,315387,16355,1.47,0.08
032080,AZTECH WB CO. LTD,(주)아즈텍더블유비이,20260908000263,2026-09-08,제원아이엔씨,,-,사실상지배주주,310191,18920,1.44,0.08
021240,"COWAY Co., Ltd.",코웨이(주),20260908000257,2026-09-08,넷마블,,-,10%이상주주,19458706,105060,27.5,0.15
044450,KSS LINE LTD.,(주)케이에스에스 해운,20260908000331,2026-09-08,케이에스에스해운우리사주조합,,-,10%이상주주,2917374,7575,12.92,0.03
009620,"SAMBO Industrial Co., Ltd.",삼보산업 주식회사,20260908000082,2026-09-08,이태용,registered,대표이사,사실상지배주주,975226,-3900907,27.91,0
009620,"SAMBO Industrial Co., Ltd.",삼보산업 주식회사,20260908000085,2026-09-08,최재훈,registered,대표이사,-,19579,-78316,0.56,0
234300,"STraffic Co.,Ltd.",에스트래픽 주식회사,20260908000121,2026-09-08,이장한,unregistered,부사장,-,57000,3000,0.21,0.01
234300,"STraffic Co.,Ltd.",에스트래픽 주식회사,20260908000334,2026-09-08,조기형,unregistered,글로벌부문장,-,27549,4000,0.1,0.01
089970,VM Inc.,브이엠(주),20260908000157,2026-09-08,이상우,registered,사장,-,120048,20000,0.45,0.07
089970,VM Inc.,브이엠(주),20260908000163,2026-09-08,장휘곤,unregistered,담당,-,90500,500,0.34,-0.01
089970,VM Inc.,브이엠(주),20260908000168,2026-09-08,정구현,unregistered,담당,-,122771,0,0.46,-0.01
020180,DaishinInformation,대신정보통신(주),20260908000394,2026-09-08,윤영민,unregistered,전무이사,-,10008,1008,0.13,0.02
009320,"AJIN ELECTRONIC COMPONENTS CO.,LTD",아진전자부품(주),20260908000400,2026-09-08,서준교,registered,사외이사,-,40900,40900,0.08,0.08
002680,Hantop Inc.,(주)한탑,20260908000222,2026-09-08,석정산업,,-,10%이상주주,1292671,1292671,16.67,16.67
003470,"Yuanta Securities Korea Co., Ltd.",유안타증권(주),20260908000395,2026-09-08,유안타씨큐리티즈아시아파이낸셜서비시스프라이빗리미티드,,-,10%이상주주,118188411,52500,57.51,0.02
199800,ToolGen Incorporated,(주)툴젠,20260908000003,2026-09-08,조현순,unregistered,전무이사,-,300,300,0,0
335870,WING'S FOOT INC.,(주)윙스풋,20260908000148,2026-09-08,씨케이앤디리더스,,-,10%이상주주,491656,-1966627,14.68,-1.5
091810,"Trinity Airways Co., Ltd.",(주)트리니티항공,20260908000022,2026-09-08,박종범,unregistered,담당,-,15250,-61003,0.01,0
091810,"Trinity Airways Co., Ltd.",(주)트리니티항공,20260908000029,2026-09-08,이현용,unregistered,담당,-,10796,-43186,0.01,-0.01
091810,"Trinity Airways Co., Ltd.",(주)트리니티항공,20260908000032,2026-09-08,공병욱,unregistered,담당,-,12326,-49308,0.01,-0.01
090410,"DUKSHINEPC CO., LTD.",(주)덕신이피씨,20260908000376,2026-09-08,김명환,registered,회 장,사실상지배주주,2130822,-8523288,23.12,-3.48
016610,"DB Securities Co.,Ltd",DB증권(주),20260908000023,2026-09-08,서석민,unregistered,상무보,-,32,32,0,0
016610,"DB Securities Co.,Ltd",DB증권(주),20260908000028,2026-09-08,백진욱,unregistered,상무보,-,5170,600,0.012,0.001
016610,"DB Securities Co.,Ltd",DB증권(주),20260908000027,2026-09-08,유숭종,unregistered,상무보,-,8179,50,0.019,0
016610,"DB Securities Co.,Ltd",DB증권(주),20260908000030,2026-09-08,김태수,unregistered,상무,-,15000,1600,0.035,0.004
347850,D&D Pharmatech Inc.,(주)디앤디파마텍,20260908000070,2026-09-08,박평아,unregistered,상무,-,14400,6000,0.03,0.01
347850,D&D Pharmatech Inc.,(주)디앤디파마텍,20260908000072,2026-09-08,홍성훈,registered,부사장,-,115000,15000,0.25,0.02
331520,"VALOFE Co.,Ltd.",(주)밸로프,20260908000377,2026-09-08,신재명,registered,대표이사,10%이상주주,2528212,2000,25.79,0.02
