# Korea People Panel — SeoulMarkets (https://seoulmarkets.com/data/people)
# 🔓 THIS IS A FREE SAMPLE: the 100 companies with the largest headcount.
#   The full panel covers 2924 companies — every listed company we could join.
#   Same columns, same method. Only the row count differs. The full file and the query API
#   are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,market,sector_ko,fiscal_year,headcount,men,women,women_share,tenure_years,tenure_years_men,tenure_years_women,tenure_ratio_women_to_men,annual_pay_per_person_krw_men,annual_pay_per_person_krw_women,pay_ratio_women_to_men,pay_ratio_withheld_reason,close_price_krw,market_cap_krw,listed_shares,price_as_of
000120,CJ Logistics Corporation,CJ대한통운,KOSPI,육상운송,2025,6847,5771,1076,0.157,9.95,10.5,7,0.667,78000000,60000000,0.769,,73000,1665301112000,22812344,20260909
453340,"HYUNDAI GREEN FOOD CO., LTD",현대그린푸드,KOSPI,소매업,2025,6543,2411,4132,0.632,6.28,6.38,6.22,0.975,53851817.92,41589160.7,0.772,,18520,601373791240,32471587,20260909
161390,"HANKOOK TIRE & TECHNOLOGY CO.,LTD",한국타이어앤테크놀로지,KOSPI,고무·플라스틱,2025,6493,6091,402,0.062,11.12,11.4,6.9,0.605,101000000,74000000,0.733,,63100,7816516853900,123875069,20260909
051600,"KEPCO Plant Service & Engineering Co., Ltd",한전KPS,KOSPI,전문직별 공사,2025,6485,5826,659,0.102,13.86,14.6,7.3,0.5,85739000,60629000,0.707,,48000,2160000000000,45000000,20260909
039570,"HDC LABS Co., Ltd.",HDC랩스,KOSPI,전문직별 공사,2025,6465,3917,2548,0.394,2.87,2.91,2.82,0.969,32576461.58,26198587.13,0.804,,7570,196499039570,25957601,20260909
021240,"COWAY Co., Ltd.",코웨이,KOSPI,기타 개인 서비스,2025,6352,3674,2678,0.422,9.33,7.93,11.24,1.417,74175000,59997000,0.809,,97800,6921054262800,70767426,20260909
034020,"DOOSAN ENERBILITY CO., LTD.",두산에너빌리티,KOSPI,기타 기계·장비,2025,6233,5768,465,0.075,13.4,14,6,0.429,104000000,57000000,0.548,,91700,58739457088200,640561146,20260909
280360,"LOTTE WELLFOOD CO.,LTD",롯데웰푸드,KOSPI,식료품 제조,2025,5825,3496,2329,0.4,14.35,16.72,10.8,0.646,74205663.62,40868613.14,0.551,,139100,1280356243400,9204574,20260909
307950,HYUNDAI AUTOEVER CORPORATION.,현대오토에버,KOSPI,출판업,2025,5753,4227,1526,0.265,6.91,7.53,5.19,0.689,104035486.16,85745085.19,0.824,,392500,10763912935000,27423982,20260909
000810,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",삼성화재해상보험,KOSPI,보험·연금,2025,5535,2997,2538,0.459,15.9,16.5,15.2,0.921,185737000,126352000,0.68,,641000,28619030193000,44647473,20260909
