# Korea Ownership Ledger — substantial-shareholding filings — SeoulMarkets (https://seoulmarkets.com/data/ownership)
# 🔓 THIS IS A FREE SAMPLE: the 100 most recently filed rows.
#   The full ledger covers 21,785 filings. Same columns, same method.
#   The full file and the query API are the licensed product: https://seoulmarkets.com/data
# built: 2026-09-11
ticker,name_en,name_ko,filing_id,filed_on,filing_kind,holder_name,shares_held,shares_change,stake_pct,stake_change_pct,related_party_shares,related_party_pct,reason_raw_ko
386380,Sky Labs Inc.,주식회사 스카이랩스,20260910000371,2026-09-10,abbreviated,모루자산운용,1654341,1654341,8.82,8.82,,,코스닥시장 상장에 따른 신규보고
172670,"ALT Co.,Ltd.",(주)에이엘티,20260909000011,2026-09-09,general,천병태,2674840,9843,29.85,0.11,2658338,29.67,장내 매수
108490,ROBOTIS,(주)로보티즈,20260908000406,2026-09-08,general,김병수,3123482,-366525,21.32,-2.89,,,매매에 따른 변동
306040,"SJ Group Co., Ltd.",주식회사 에스제이그룹,20260908000185,2026-09-08,general,이주영,5203680,57100,56.03,0.61,,,최대주주 장내매수에 따른 보유주식 수 및 보유비율 변동
123860,"Anapass, Inc.",(주)아나패스,20260908000050,2026-09-08,abbreviated,아이베스트투자,1946700,152200,16.06,1.26,,,장내매매
241770,"MECARO.CO.,LTD.",(주)메카로,20260908000375,2026-09-08,general,이재정,5402142,-1657,53,-0.02,377908,3.71,장내매도
264660,"C&G Hi Tech Co., Ltd",씨앤지하이테크(주),20260908000038,2026-09-08,general,홍사문,3339215,0,34.36,0,1574089,16.19,"보고자 및 특별관계자(홍중선, 홍지선)의 기존 주식담보계약 연장"
036200,"UNION SEMICONDUCTOR EQUIPMENT  CO.,LTD;",유니셈(주),20260908000092,2026-09-08,abbreviated,FILLIMITED,2139513,597665,6.98,1.95,,,단순 주식 취득에 의한 변동 보고
282720,"KUMYANG GREEN POWER CO., Ltd.",금양그린파워(주),20260908000350,2026-09-08,general,이윤철,6993443,0,57.7,0,2633934,21.73,- 특별관계자의 보유주식등에 관한 담보계약 갱신
009620,"SAMBO Industrial Co., Ltd.",삼보산업 주식회사,20260908000091,2026-09-08,general,이태용,1412767,-5651081,40.43,0,925680,26.49,- 주식(액면)병합(5:1) 반영
065060,"Great New wave Coming Co., Ltd.",(주)지엔코,20260908000249,2026-09-08,general,크레오에스지,4430117,4063,73.95,0.07,2463674,41.13,특별관계자 주식장내매수 및 주식근질권설정변경계약체결외
020560,Asiana Airlines Inc.,아시아나항공(주),20260908000174,2026-09-08,general,금호건설,22899353,0,11.12,0,22896020,11.12,보유주식등에 관한 계약 변경
002380,KCC Corporation,(주)케이씨씨,20260908000207,2026-09-08,general,정몽진,3055337,0,35.56,0,155597,1.81,"- 특별관계자의 기존 주식담보대출 연장
- 특별관계자의 주식대차 수량 변경"
