name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg
Hong Yoo-kyung,individual,38,1,20260806,4,14,1.75
Lee Hae-ri,individual,1211,40,20260803,68,311,1.08
"Lee Hyun-woo (entertainer, born 1966)",individual,400,13,20260728,25,100,1.25
Lee Chang-min (singer),individual,1366,46,20260709,70,334,0.98
Lee Jin,individual,1370,46,20260730,63,338,1.02
Stephanie Kim,individual,478,16,20260804,34,132,1.31
Lee Seung-hwan,individual,909,30,20260719,61,190,1.03
Park Yeong-gyu,individual,897,30,20260718,55,164,0.79
Lee Areum,individual,46,2,20260730,5,7,0.78
Lee Joo-yeon,individual,2544,85,20260712,283,513,0.66
Thunder (singer),individual,2362,79,20260717,153,585,0.98
Kim Tae-won,individual,472,16,20260725,54,93,0.82
Samuel Youn,individual,79,3,20260724,7,14,0.78
Choi Ran,individual,332,11,20260805,19,87,1.28
Yoo Gun-hyung,individual,247,8,20260716,19,62,1.41
Kim Kwang-seok,individual,1100,37,20260718,46,238,0.99
Kim Dong-ryul,individual,424,14,20260718,28,83,0.98
H-Eugene,individual,96,3,20260731,8,28,1.65
Shin Bo-ra,individual,230,8,20260730,15,59,1.07
Dok2,individual,1594,53,20260803,83,468,1.23
Kang Chan-hee,individual,3717,124,20260712,191,985,1.07
MayBee,individual,866,29,20260717,37,185,0.9
Ryu Hwa-young,individual,5699,190,20260713,250,1281,0.97
Son Dong-woon,individual,957,32,20260714,50,215,0.95
Ailee,individual,4695,157,20260805,191,1129,1.07
Kim Min-jong,individual,1577,53,20260720,68,331,0.97
Ji Chang-wook,individual,54577,1819,20260726,2387,12947,0.97
Gill (musician),individual,381,13,20260709,26,107,1.27
Hong Kyung-min,individual,940,31,20260713,47,183,0.72
Jung Dong-ha,individual,327,11,20260712,21,69,0.84
Kang San-eh,individual,127,4,20260731,12,34,1.21
Kim C,individual,452,15,20260725,27,99,0.91
Lee Jung,individual,376,13,20260729,20,86,1.06
Lee Ki-chan,individual,286,10,20260715,15,63,1.19
Lee So-ra (singer),individual,880,29,20260716,69,220,1.21
Lim Jeong-hee,individual,920,31,20260709,66,216,0.97
Park Gun-hyung,individual,580,19,20260729,40,161,1.46
Saori (television personality),individual,205,7,20260728,14,50,1.14
Shim Eun-jin,individual,863,29,20260708,45,194,0.83
Sim Soo-bong,individual,866,29,20260726,47,228,1.18
So Chan-whee,individual,290,10,20260801,29,94,1.68
Solbi,individual,731,24,20260708,85,161,0.73
Taegoon,individual,198,7,20260719,15,45,1.15
Yim Jae-beom,individual,818,27,20260724,37,190,1.04
Yoo Chae-yeong,individual,706,24,20260722,61,148,1.09
Allen Kim,individual,914,30,20260709,62,185,0.66
Jang Su-won,individual,667,22,20260730,53,144,1.2
Ji Sang-ryeol,individual,332,11,20260716,23,77,0.92
Lee Yong-shin,individual,115,4,20260718,10,29,2.23
May (singer),individual,57,2,20260729,8,19,2.71
Song Dae-kwan,individual,114,4,20260720,9,24,0.96
Im Chang-jung,individual,1503,50,20260711,64,303,0.76
Jang Yoon-ju,individual,2439,81,20260711,147,539,0.84
Jo Hye-ryun,individual,2437,81,20260713,348,362,0.41
Yang Mi-kyung,individual,874,29,20260802,56,254,1.43
Lexy (singer),individual,642,21,20260804,38,167,1.11
Lyn (singer),individual,2643,88,20260708,152,572,0.73
JeA,individual,1276,43,20260712,67,271,0.7
Kim Isak,individual,352,12,20260714,19,89,1.05
MC Sniper,individual,259,9,20260806,16,70,1.08
Shoo (singer),individual,1776,59,20260806,81,446,1.11
"Lee Jai-jin (musician, born 1979)",individual,636,21,20260730,57,150,1.44
Park Gwang-hyun,individual,677,23,20260717,71,135,1.08
Ahn Jae-mo,individual,539,18,20260716,33,100,0.74
Kang Min-kyung,individual,2288,76,20260713,179,551,0.77
Kang Sung-yeon,individual,569,19,20260727,33,129,1.1
Song Eun-i,individual,2234,74,20260713,251,406,0.53
Moon Joon-young,individual,515,17,20260717,26,96,0.98
Soya (singer),individual,1514,50,20260710,113,274,0.56
Chanyeol,individual,5533,184,20260724,228,1406,1.13
Park Sae-byul,individual,245,8,20260716,12,58,1.07
Park Won-sang,individual,1255,42,20260713,68,313,0.91
Keiko Matsuzaka,individual,2482,83,20260709,145,675,1.12
Kim Jin-woo (actor),individual,1092,36,20260802,52,278,1.09
Gaeko,individual,983,33,20260714,44,223,0.86
Kang Ye-seo,individual,2853,95,20260804,136,750,1.29
Ko Ji-yong,individual,4741,158,20260729,1325,912,5.07
Gil Hak-mi,individual,61,2,20260717,5,17,2.43
Gilme,individual,118,4,20260731,10,33,1.32
Gu Bon-seung,individual,149,5,20260714,13,26,0.76
Kim Ga-young (actress),individual,485,16,20260711,29,134,1.15
Moon Hee-kyung,individual,720,24,20260717,34,178,1.06
Bang Min-ah,individual,5972,199,20260726,247,1347,0.93
Min Kyung-hoon,individual,1273,42,20260803,78,325,1.16
Park Min-ha (singer),individual,35,1,20260711,4,9,0.9
Park In-young,individual,566,19,20260710,30,107,0.68
Park Wan-kyu,individual,314,10,20260713,20,67,0.86
Park Sang-min (singer),individual,97,3,20260709,6,21,0.81
Park So-jin,individual,6007,200,20260713,342,1291,0.84
Son Ji-chang,individual,396,13,20260725,24,104,1.24
Son Jin-young,individual,98,3,20260715,6,31,2.58
Soy Kim,individual,223,7,20260804,15,78,1.86
Eric Mun,individual,4081,136,20260714,180,914,0.84
Jeon Ji-yoon,individual,1084,36,20260718,45,247,1.06
Seo In-guk,individual,63286,2110,20260708,3528,11262,0.59
Lee Jung-shin,individual,4065,136,20260726,164,976,1.14
Na Hyeon-hui,individual,54,2,20260724,7,7,0.54
Hyun Woo,individual,1442,48,20260726,68,375,1.19
Shin Shin-ae,individual,412,14,20260713,59,109,0.93
Miryo,individual,1018,34,20260717,53,213,0.85
Naul (singer),individual,905,30,20260726,44,174,0.84
Rebekah Kim,individual,46,2,20260803,10,21,3
Hyun Cheol,individual,85,3,20260710,9,13,0.45
Ryan Bang,individual,2780,93,20260723,142,585,0.86
Ryu Se-ra,individual,710,24,20260731,53,230,1.49
Ryu Tae-joon,individual,315,11,20260710,22,75,0.93
Yoon Min-soo,individual,327,11,20260708,17,83,0.99
San E,individual,849,28,20260806,51,238,1.15
Baekhyun,individual,8362,279,20260805,365,2063,1.12
David Choi,individual,1167,39,20260806,93,288,1.21
Lee Jong-hyun,individual,5639,188,20260710,270,1277,0.85
Kahi,individual,2119,71,20260715,145,451,0.83
Zelo,individual,1402,47,20260730,86,375,1.35
Roy Kim,individual,2503,83,20260716,105,615,1.03
Lee Jun-ho,individual,25607,854,20260806,1022,6414,1.02
Kim Him Chan,individual,18,1,20260711,4,6,0.67
Kim Ian,individual,113,4,20260731,9,30,1.36
Eum Moon-suk,individual,2770,92,20260727,164,577,1.08
JK Kim Dong-wook,individual,158,5,20260715,14,40,1
Kim Hyun-joo,individual,18410,614,20260730,2392,4407,2.06
Kwangchul Youn,individual,181,6,20260711,27,38,0.59
Lee Hee-jin,individual,1261,42,20260711,64,249,0.72
Lee Ki-seop,individual,639,21,20260709,38,135,0.75
Chae Young-in,individual,191,6,20260720,13,47,1.04
Simon Dominic,individual,2080,69,20260724,101,453,1.01
Crown J,individual,252,8,20260806,16,66,1.06
Lee Sun-hee (singer),individual,726,24,20260708,42,170,0.99
Yang Ji-won (singer),individual,1795,60,20260724,84,439,1.3
Hoya (singer),individual,2093,70,20260719,92,413,0.82
Jyongri,individual,122,4,20260718,9,34,1.06
"Yeon Woo (singer, born 1981)",individual,53,2,20260805,7,17,1.31
Yuny Han,individual,83,3,20260716,6,17,0.81
Kangnam (singer),individual,4208,140,20260728,169,891,0.81
Juniel,individual,821,27,20260715,54,121,0.43
"Joo Jong-hyuk (actor, born 1983)",individual,151,5,20260801,10,40,1.54
Moon Jong-up,individual,684,23,20260712,34,148,0.86
Kang Doo,individual,254,8,20260719,13,53,0.85
Oh Seh-wong,individual,8,0,20260715,2,1,0.25
Hong Jin-young,individual,2749,92,20260708,168,603,0.8
Maya (singer),individual,551,18,20260804,37,151,1.42
Kim Nam-joo (singer),individual,2238,75,20260726,122,569,1.28
Roh Ji-hoon,individual,364,12,20260708,24,71,0.65
Ali (South Korean singer),individual,1091,36,20260803,62,253,0.85
Oh Ha-young,individual,2923,97,20260726,174,666,1.12
Uee,individual,7825,261,20260728,319,1771,1.02
Alexander Lee (entertainer),individual,1848,62,20260708,119,363,0.67
Sung Yu-ri,individual,2611,87,20260719,118,596,0.89
Haha (entertainer),individual,4788,160,20260718,226,1119,1.02
Jo Sung-mo,individual,474,16,20260801,30,124,1.29
Jung Eun-ji,individual,9007,300,20260726,366,2200,1.04
Jung Ryeo-won,individual,9242,308,20260712,402,1745,0.66
Qri,individual,2161,72,20260802,120,591,1.37
Lee Ahyumi,individual,2018,67,20260806,106,512,1.18
"Lee Joon-hyuk (actor, born 1984)",individual,20107,670,20260801,1085,5586,1.21
No Min-woo,individual,2844,95,20260731,119,624,0.89
Cho Yong-pil,individual,1615,54,20260805,80,440,1.18
Jang Wooyoung,individual,5687,190,20260806,293,1642,1.34
Kim Kyu-jong,individual,775,26,20260716,38,162,0.81
Moon Hee-joon,individual,2075,69,20260802,100,521,1.1
Lee Soo-young,individual,428,14,20260710,23,100,0.88
Cha In-pyo,individual,1253,42,20260802,53,309,1.04
Epaksa,individual,152,5,20260718,12,28,0.72
Jeon Hye-bin,individual,3242,108,20260719,150,688,0.88
Kan Mi-youn,individual,1464,49,20260709,91,275,0.56
"Lee Hyun-woo (actor, born 1993)",individual,3349,112,20260712,149,756,0.93
Brian Joo,individual,2722,91,20260806,190,786,1.58
Hyun Young,individual,681,23,20260802,32,170,1.11
Lee Hae-in (actress),individual,759,25,20260712,88,144,0.53
Lee Hwi-jae,individual,1077,36,20260708,129,241,0.73
Lee Hyun-ji,individual,131,4,20260726,11,35,1.67
Im Chae-moo,individual,195,7,20260719,16,46,1.1
Lim Han-byul,individual,625,21,20260717,31,123,0.78
Zion.T,individual,2692,90,20260714,198,605,0.85
J'Kyun,individual,216,7,20260801,17,54,1.13
Jay (South Korean singer),individual,696,23,20260714,34,155,0.94
Jay Hong,individual,43,1,20260724,4,8,0.73
Jeon In-kwon,individual,229,8,20260728,16,44,0.69
Jessi (musician),individual,8544,285,20260711,338,1870,0.89
Junggigo,individual,315,11,20260730,18,77,1.15
Jungyup,individual,168,6,20260730,11,45,1.29
Park Eun-ooh,individual,78,3,20260715,8,12,0.63
Jo Jung-chi,individual,459,15,20260730,33,96,0.83
Chu Ga-yeoul,individual,106,4,20260717,7,30,2.14
Crush (singer),individual,4967,166,20260722,239,1397,1.85
Ha Dong-kyun,individual,330,11,20260806,19,72,0.96
"Kai (singer, born 1981)",individual,277,9,20260727,19,86,1.76
Paloalto (rapper),individual,565,19,20260715,92,69,0.95
Rumble Fish (singer),individual,110,4,20260729,8,17,0.59
Han Dong-geun,individual,229,8,20260715,24,41,0.71
Heo Cham,individual,31,1,20260802,3,10,1.67
Byun Jin-sub,individual,223,7,20260708,15,49,0.82
Bae Woo-hee,individual,1131,38,20260803,58,288,1.11
Lee Moon-sae,individual,1214,40,20260715,125,228,0.88
Serri (singer),individual,150,5,20260726,27,59,19.67
Shin Sung-woo,individual,432,14,20260730,21,102,1.06
Lee Hwajungseon,individual,114,4,20260726,9,28,1.33
Lee Hwa-ja,individual,78,3,20260712,8,20,1
Jang Se-jeong,individual,92,3,20260719,10,29,1.32
Park Jin-young,individual,8854,295,20260801,915,5390,158.53
Yoo Young-jae,individual,1068,36,20260710,55,233,0.81
Kei (singer),individual,883,29,20260718,43,205,1.14
Kim Jae-kyung,individual,3225,108,20260714,141,764,0.89
Kim Ji-sook (singer),individual,485,16,20260718,23,101,0.84
Kim Jong-hwan,individual,71,2,20260712,7,17,1.31
Kim Jung-mo,individual,407,14,20260717,21,88,1.09
"Kim Min-hee (actress, born 1972)",individual,124,4,20260731,16,45,2.05
Kim Soo-hee,individual,161,5,20260724,19,27,0.69
Kim Woo-joo,individual,93,3,20260718,8,22,1.05
Kim Ye-won (entertainer),individual,1931,64,20260728,234,411,1.15
Kim Young-chul (comedian),individual,733,24,20260803,58,221,1.35
Maeng Yu-na,individual,90,3,20260714,7,21,1.05
Bae Ki-sung,individual,189,6,20260724,15,35,0.76
Bang Jun-seok,individual,199,7,20260713,14,42,0.86
Park Jin-joo,individual,3499,117,20260727,170,826,1.12
Bae Ho,individual,135,5,20260806,10,40,1.38
Baek Bong-ki,individual,133,4,20260709,11,22,0.71
Basick,individual,265,9,20260730,19,79,1.36
Bumkey,individual,426,14,20260728,27,125,1.67
Beenzino,individual,1504,50,20260709,112,327,0.66
Seo Kyung-seok,individual,135,5,20260802,9,31,1.35
Seo Min-woo,individual,797,27,20260717,68,166,0.84
Kiwan Sung,individual,24,1,20260710,3,2,0.22
Lee Seong-jong,individual,618,21,20260727,34,133,1.08
Shin Won-ho,individual,1200,40,20260805,68,303,1.27
Shin Dong-ho,individual,704,23,20260709,47,159,0.94
Teddy Park,individual,7727,258,20260713,302,1814,0.94
Park Cho-rong,individual,1570,52,20260726,79,382,1.1
Shin Ji-soo,individual,140,5,20260719,11,37,1.42
Sung Hyun-ah,individual,1092,36,20260717,59,238,1.02
Jamie (singer),individual,3190,106,20260721,354,684,1.19
"Kim Ji-soo (singer, born 1990)",individual,272,9,20260710,17,68,0.91
Lee Ka-eun,individual,119,4,20260727,8,25,0.86
Son Na-eun,individual,74106,2470,20260726,7055,11370,0.72
E-Young,individual,35,1,20260727,5,10,1.25
Lee Dong-gun,individual,5089,170,20260723,555,1009,0.97
Byul,individual,1892,63,20260806,125,558,1.29
Jo Young-nam,individual,1047,35,20260803,62,260,0.93
Jung Yoon-hak,individual,224,7,20260717,12,63,1.34
Kim Mu-yeol,individual,82126,2738,20260712,4196,13291,0.5
Lee Seo-an,individual,1810,60,20260708,149,271,0.39
Park Geon-il,individual,467,16,20260709,29,123,0.98
Sunmin,individual,74,2,20260728,8,19,1.19
Yong Jun-hyung,individual,11034,368,20260806,522,3223,1.53
Woo Hye-rim,individual,2060,69,20260728,86,463,1.03
Lee Seo-jin,individual,8061,269,20260724,651,1540,0.98
Seorak,individual,80,3,20260712,9,28,1.56
Sang A Im-Propp,individual,83,3,20260730,7,19,1
Seomoon Tak,individual,224,7,20260719,16,49,0.91
Shin Young-kyun,individual,2568,86,20260720,170,532,0.93
Sunny Kim (singer),individual,67,2,20260708,6,12,0.67
Yoon Soo-il,individual,161,5,20260714,11,39,1.03
Taebin,individual,1007,34,20260710,51,215,0.75
Zico (rapper),individual,7493,250,20260719,412,1683,1.09
Lee Sung-yeol,individual,1327,44,20260729,79,290,1
Yeahwon Shin,individual,45,2,20260721,4,11,0.92
Yeo Hoon-min,individual,620,21,20260709,39,127,0.8
Yoo Ara,individual,493,16,20260730,28,99,0.85
You Hee-yeol,individual,1276,43,20260721,56,306,1.01
Yoo Se-yoon,individual,1287,43,20260719,59,297,1.07
Jang Dong-woo,individual,694,23,20260723,35,155,1.05
Kang Eun-bi,individual,479,16,20260713,36,127,1.13
Changjo,individual,652,22,20260723,43,150,1.19
Byung Hun (entertainer),individual,1311,44,20260724,118,260,1.01
Chen (singer),individual,5871,196,20260806,257,1415,1.1
Lady Jane (singer),individual,445,15,20260806,41,130,1.24
Ren (South Korean singer),individual,1652,55,20260728,142,407,1.23
Lee Yong-jin,individual,2575,86,20260802,118,619,0.95
Suho,individual,7745,258,20260802,377,2148,1.25
Xiumin,individual,4955,165,20260725,233,1283,1.38
B-Bomb,individual,1163,39,20260801,64,246,0.86
P.O,individual,26168,872,20260712,1186,4291,0.57
Kim Chang-wan,individual,2479,83,20260722,241,522,1.37
Kim Yeon-ji,individual,967,32,20260801,44,245,0.91
Kim Yon-ja,individual,270,9,20260726,18,50,0.67
Kim Yuna (singer),individual,764,25,20260718,60,194,1.54
Na-mi,individual,323,11,20260803,23,109,1.45
Go Woo-ri,individual,1109,37,20260713,61,266,0.86
Im Hyun-sik (singer),individual,1515,51,20260724,93,310,0.94
Lee Gi-kwang,individual,3679,123,20260710,221,675,0.58
Wonho Chung,individual,163,5,20260714,10,35,1
Lee Hye-ri,individual,48112,1604,20260714,3377,10358,0.92
Yoo Jae-ha,individual,896,30,20260722,62,173,0.89
Mir (singer),individual,690,23,20260717,34,159,1.03
Rihwa,individual,83,3,20260806,7,22,0.92
Park Hee-von,individual,2115,71,20260712,119,458,0.83
Verbal Jint,individual,737,25,20260717,38,162,0.87
Yoon Do-hyun,individual,1176,39,20260708,52,258,0.88
Yozoh,individual,109,4,20260720,7,27,1.42
Okasian,individual,558,19,20260715,28,129,1.1
Lee Mi-ja,individual,288,10,20260729,18,73,1.07
Lee Nan-young,individual,768,26,20260725,63,133,0.58
Lee Sang-min (singer),individual,2883,96,20260718,114,606,0.84
Lee Sang-yi (actor),individual,36495,1217,20260801,3822,15164,3.21
U Sung-eun,individual,245,8,20260709,18,56,0.92
Yeon Min-ji,individual,191,6,20260718,14,34,0.71
Yoo Seung-woo,individual,385,13,20260716,21,88,1.01
Yoon Bok-hee,individual,262,9,20260708,17,62,0.84
Yura (South Korean singer),individual,4434,148,20260805,179,1058,1.01
E Sens,individual,378,13,20260713,31,79,0.66
Lee Jae-hoon (singer),individual,422,14,20260728,30,84,0.76
Lee Seok-hoon (singer),individual,872,29,20260726,47,203,1.01
"Lee Soo-min (actress, born 1984)",individual,88,3,20260806,9,25,2.5
Lee Yoon-mi,individual,533,18,20260708,48,70,0.36
Chun Myung-hoon,individual,307,10,20260728,19,54,0.7
Jin Chae-seon,individual,191,6,20260722,17,45,1.15
Jinu,individual,949,32,20260709,72,187,0.79
Joo Young-hoon,individual,296,10,20260726,22,65,0.94
Pearl (singer),individual,698,23,20260726,41,219,1.96
Zia (singer),individual,475,16,20260719,23,116,1.12
Choi Soo-eun,individual,163,5,20260711,11,50,1.16
Choiza,individual,2518,84,20260716,113,586,0.93
Cha Woong-ki,individual,1977,66,20260727,118,391,0.87
Yuri Nakamura,individual,935,31,20260713,75,196,0.71
Kim Min-ki,individual,329,11,20260712,18,76,1
Choi Jin-young,individual,1851,62,20260708,159,342,0.58
Kim Won-jun,individual,473,16,20260719,30,116,1.16
Kim Jong-wook,individual,81,3,20260721,7,14,0.93
Kim Soo-chul,individual,313,10,20260724,23,94,2.54
