wikidata_q,name,born,kind,is_group,schools,school_count,wikipedia_editions,label_has_hangul
Q18176087,Choi Jong-nam,1960-06-09,acting,no,Seoul Namsung Elementary School,1,1,no
Q18191792,Choi Wan-jung,1968-02-09,acting,no,,0,1,no
Q18191810,Han Beom-hee,1965-01-25,acting,no,Dongguk University,1,1,no
Q18604885,Kwon Nam-hee,1962-11-02,acting,no,,0,1,no
Q108597433,Ja-yeong Kim,1960-12-23,acting,no,,0,0,no
Q109459165,진요근,1963-03-19,music,no,,0,1,yes
Q109461451,강애리자,1962-01-09,music,no,Hanyang Women's University,1,1,yes
Q110115852,Oh Min-ae,1965-09-10,acting,no,,0,7,no
Q110117644,조규천,1966-05-09,music,no,,0,1,yes
Q110133118,Hong Kyeong-yeon,1964-03-23,acting,no,,0,1,no
Q112021410,현주,1969-11-29,music,no,,0,1,yes
Q112022351,황준욱,1966-01-28,acting,no,,0,1,yes
Q112022414,신세령,1968-08-07,music,no,,0,1,yes
Q112022797,김혜정,1967-10-16,music,no,,0,1,yes
Q54351,Lee Seung-chul,1966-12-05,both,yes,,0,13,no
Q54348,Yoon Jong-shin,1969-10-15,both,yes,Yonsei University,1,10,no
Q4502171,Kim Sung-ryung,1967-02-08,acting,no,Hankuk University of Foreign Studies | Inha University | Kyung Hee University | Ewha Womans University High School,4,16,no
Q4537879,Kim Seo-ra,1968-01-29,acting,no,Chung-Ang University,1,8,no
Q4696244,Ahn Ji-hwan,1969-07-24,acting,no,,0,2,no
Q4750126,An Jang-hyeok,1968-10-08,acting,no,,0,2,no
Q1392389,Yoo-Chang Nah,1969-02-02,music,no,,0,2,no
Q1526592,Lee Moon-sik,1967-11-13,acting,no,Hanyang University,1,9,no
Q1602742,Hellen Kwon,1961-01-11,music,no,,0,2,no
Q5071640,Chang Sung Kim,1960-01-03,acting,no,,0,6,no
Q5103984,Choi Won-hyeong,1968-12-05,acting,no,,0,2,no
Q624683,Son Hyun-joo,1965-06-24,acting,no,Chung-Ang University | Daewon High School | Yangchung Middle School,3,12,no
Q624690,Son Won Il,1962-08-10,acting,no,,0,4,no
Q624924,Park Mi-sun,1967-03-10,acting,no,Hanyang University | Bosung Girls' High School,2,11,no
Q3019508,Jang Dong-jik,1966-09-15,acting,no,Sungkyunkwan University,1,3,no
Q3019523,Lee Sun-hee,1964-11-11,music,no,Incheon City College,1,14,no
Q3019531,Choi Jong-hwan,1965-09-24,acting,no,Seoul Institute of the Arts,1,6,no
Q3138847,Ho-Sung Pak,1967-11-08,acting,no,,0,13,no
Q11343022,Min Jun-ho,1968-05-12,acting,no,,0,3,no
Q11485240,Yoon Da-hun,1964-12-30,acting,no,Korea National Open University,1,8,no
Q11647261,Masaru Kanamori,1964-06-25,acting,no,,0,2,no
Q12582838,Kang Ri-na,1964-04-02,acting,no,Sunhwa Arts High School,1,1,no
Q12582958,Kang Seong-mo,1961-09-19,music,no,,0,1,no
Q12583065,강인봉,1966-01-23,both,yes,Korea University,1,1,yes
Q12584087,고니 (1962년),1962-01-11,music,no,Chapman University,1,1,yes
Q12584469,Go Tae-san,1961-08-13,both,no,,0,1,no
Q12584864,곽영준,1969-03-31,music,no,Dankook University,1,1,yes
Q12586160,Kwon Jin-won,1966-01-31,music,no,Hankuk University of Foreign Studies,1,1,no
Q12588714,Kim Jong-hwan,1966-02-01,music,no,Yongsan High School,1,5,no
Q12587900,Kim Seung-uk,1963-08-04,acting,no,Seoul Institute of the Arts,1,2,no
Q12587907,Kim Seung-jin,1968-12-31,both,no,Chung-Ang University,1,1,no
Q12588011,김영민 (1961년),1961-09-17,acting,no,,0,1,yes
Q12588207,김용임,1966-02-05,music,no,Seoul Institute of the Arts,1,1,yes
Q12588365,Kim Eung-su,1961-02-12,acting,no,Seoul Institute of the Arts | Japan Institute of the Moving Image,2,7,no
Q12588431,Il-gwŏn Kim,1964-01-30,acting,no,,0,1,no
Q12588529,Kim Jung-kyoon,1965-10-13,acting,no,Korea National Open University,1,1,no
Q12588694,Kim Jong-chan,1960-04-11,music,no,Chongshin University,1,1,no
Q12588692,Kim Jong-jin,1962-12-19,both,yes,Korea University,1,1,no
Q624159,Kim Jang-hoon,1967-08-14,music,no,Hongik Elementary School,1,9,no
Q624195,Jeon In-hwa,1965-10-27,acting,no,Chung-Ang University,1,12,no
Q624351,Hwang Shin-hye,1963-12-15,both,no,Inil Girls' High School,1,10,no
Q625572,Jeong Jin-yeong,1964-10-16,acting,no,Seoul National University,1,15,no
Q625611,Lee Chang-hun,1966-09-08,acting,no,Seoul Institute of the Arts,1,7,no
Q625623,Kim Sang-joong,1965-08-06,acting,no,Dongguk University,1,12,no
Q19603643,Jeong Jong-hyeon,1961-09-11,acting,no,,0,1,no
Q19657514,최석준,1961-09-27,music,no,Korea National Open University,1,1,yes
Q19794685,Park Byung-sun,1968-09-18,acting,no,Korea University,1,1,no
Q19854593,Lee Jong-nam,1963-01-01,acting,no,Sungshin Girls' High School,1,1,no
Q19939412,Go Bon-im,1969-02-02,acting,no,Seoul Institute of the Arts,1,2,no
Q19939511,김수용,1966-10-18,acting,no,Chung-Ang University,1,1,yes
Q19939554,김형섭,1968-08-11,music,yes,Seoul Institute of the Arts,1,1,yes
Q19940775,Lee Dong-gyu,1968-10-27,music,no,Kyung Hee University,1,1,no
Q19940839,이정식,1961-08-14,music,no,,0,1,yes
Q19940844,Ju-han,1965-12-20,music,no,,0,1,no
Q20444697,Jung Jae-eun,1969-06-03,acting,no,Dongguk University,1,6,no
Q18605390,Seo Joo-hee,1966-10-26,acting,no,,0,1,no
Q18605455,Shin Bok Sook,1961-01-10,acting,no,Seoul Institute of the Arts,1,1,no
Q18605826,Choe Un-gyo,1960-02-05,acting,no,,0,1,no
Q18648106,Kwon Jae-hee,1962-09-21,acting,no,Dongguk University,1,1,no
Q18648578,Han Gap-su,1968-07-01,acting,no,,0,1,no
Q18815363,Kim Kyeong-ik,1968-07-09,acting,no,,0,1,no
Q18815511,배동성,1965-04-02,music,no,Seoul Institute of the Arts,1,1,yes
Q18815675,Lee Gyeong-rae,1961-08-17,acting,no,Seoul Institute of the Arts,1,1,no
Q18815762,Cha Gi-hwan,1960-07-16,acting,no,Chung-Ang University | Jinju Dongmyeong High School,2,1,no
Q18815837,한재진,1969-10-27,acting,no,Seoul Institute of the Arts,1,1,yes
Q18998876,Wang-geun Kim,1968-04-10,acting,no,,0,1,no
Q19000028,박철우,1965-01-18,music,no,Baemoon High School,1,1,yes
Q19000040,방미,1960-04-27,music,no,Songgok Girls' High School,1,1,yes
Q19161794,Song Ho-sup,1962-01-08,acting,no,Seoul High School,1,1,no
Q491143,Choi Min-soo,1962-03-27,both,no,Seoul Institute of the Arts,1,14,no
Q492532,Bang Eun-jin,1965-08-05,acting,no,Seoul Institute of the Arts | Kookmin University,2,12,no
Q11270098,정수라,1963-10-28,music,no,Jinseon Girls' High School,1,2,yes
Q11270219,Cheuni,1964-08-25,music,no,Seoul Institute of the Arts,1,2,no
Q11274367,Choi Hwa-jung,1961-02-10,acting,no,Jinmyeong Girls' High School,1,12,no
Q11286019,Huh Joon-ho,1964-04-14,both,no,Seoul Institute of the Arts | Shinil High School | Suyu Middle School | Seoul wooi Elementary School,4,12,no
Q11287834,이경원,1964-11-03,acting,no,,0,1,yes
Q11318492,Jeong Ho-geun,1964-09-28,both,no,Chung-Ang University,1,7,no
Q12587413,김민우 (가수),1969-05-18,music,no,,0,1,yes
Q12587490,Kim Byeong-choon,1966-06-13,acting,no,Seoul Institute of the Arts,1,3,no
Q12587512,Kim Bo-sung,1966-06-27,acting,no,Shingu College,1,5,no
Q12587537,Kim Bu-seon,1961-07-10,acting,no,,0,1,no
Q12587725,Kim Seong-su,1968-10-03,music,yes,Kwangyoung High School,1,1,no
Q12587795,김세민,1968-10-19,acting,no,,0,1,yes
Q20444728,Kwon O-jin,1960-02-29,acting,no,,0,1,no
Q20444735,Kwon Hyeok-ho,1961-02-25,acting,no,Seoul Institute of the Arts,1,1,no
Q20444866,Eom Choon-bae,1962-08-03,acting,no,,0,1,no
Q20445000,사무엘 강,1969-12-04,acting,no,,0,1,yes
Q20445028,Kim Yang-woo,1969-07-31,acting,no,,0,1,no
Q20445073,김정연,1969-12-28,music,no,Catholic University of Korea,1,1,yes
Q20445454,Chu Gwi-jeong,1969-06-25,acting,no,Hanyang University,1,1,no
Q16091504,Janghoil,1965-09-10,music,yes,Youngshin High School,1,1,no
Q16091543,Jeon Yu-na,1969-03-21,music,no,Kyungsung University,1,1,no
Q16091573,Jeon Hanssen,1963-11-16,acting,no,Gangnung Elementary School,1,1,no
Q16091578,Jeon Hong-ryeol,1964-10-03,acting,no,,0,1,no
Q16091812,Jung Heung-chae,1964-08-15,acting,no,Dongguk University,1,2,no
Q16091909,Jo Yong-won,1966-09-27,acting,no,Dongmyung Girls' High School,1,1,no
Q16091930,조정현,1964-08-15,music,no,,0,1,yes
Q16092141,Choi Sung-joon,1965-05-31,acting,no,Chung-Ang University,1,1,no
Q16092327,Han Kyung-sun,1963-04-25,acting,no,Hanyang University,1,1,no
Q19161908,Yu Ha-bok,1969-10-29,acting,no,,0,1,no
Q19162006,Jun Byung-Chul,1968-02-13,acting,no,,0,1,no
Q19162016,Jeon Ho-jin,1965-05-23,acting,no,Chung-Ang University,1,1,no
Q19162044,Cho Kyung-sook,1962-02-28,acting,no,,0,1,no
Q19349254,Kim Do-shin,1969-12-18,acting,no,Sejong University,1,1,no
Q19349368,동후,1968-05-10,music,no,Chung-Ang University,1,1,yes
Q19349522,Seonu Il-Ran,1966-02-01,acting,no,Sudo Girls' High School,1,1,no
Q19483652,Kim Hye-jeong,1961-02-14,acting,no,Sangmyung University,1,2,no
Q19598756,Kim Min-sang,1968-02-07,acting,no,,0,2,no
Q19598961,DJ Chully,1964-12-04,music,no,Korea University High School,1,1,no
Q16182704,황덕재,1961-09-21,acting,no,,0,1,yes
Q16182727,Lim Byeong-soo,1960-08-08,music,no,,0,1,no
Q15142380,Kim Il-woo,1963-06-19,acting,no,Chung-Ang University,1,5,no
Q15303981,Seo Yi-sook,1966-12-06,acting,no,Chung-Ang University,1,9,no
Q15404403,Sunwoo Jae-duk,1962-07-23,acting,no,Seoul Institute of the Arts,1,7,no
Q16068646,Su Jung Ham,1962-07-27,acting,no,,0,1,no
Q20445469,Yoon Bok-in,1969-12-16,acting,no,,0,6,no
Q20651590,Kang Min-ju,1965-11-24,music,no,Kwangchon High School | Dukmyeung Elementary School,2,1,no
Q20651842,Son Jong-hak,1967-06-20,acting,no,"Junior High School Attached to College of Education, Chungang Univ.",1,3,no
Q20651913,왕소연,1966-12-30,music,no,Hadong Girls' High School,1,1,yes
Q20651997,In Song-ho,1969-12-25,acting,no,,0,1,no
Q20652064,조승구,1960-05-27,music,no,Kongju High School,1,1,yes
Q20652072,Joo Won-seong,1964-06-06,acting,no,,0,1,no
Q20652085,진성,1966-08-06,music,no,Puan High School,1,1,yes
Q20780278,Kim Sung-il,1961-05-12,acting,no,Chungam High School,1,1,no
Q20780358,Kim Jeong-hun,1961-12-02,acting,no,,0,1,no
Q12586167,Kwon Tae-won,1961-03-18,acting,no,Sejong University,1,2,no
Q12586836,Gil Eun-jung,1961-08-08,music,no,Eulji University | Chuncheon Girls' High School,2,1,no
Q12586978,Kim Gwang-jin,1964-09-17,music,yes,Yonsei University,1,2,no
Q12587172,Kim Do-kyoon,1964-05-11,music,no,Daegu National University of Education Attached Elementary School,1,1,no
Q12587177,Kim Do-yeon,1966-01-19,acting,no,,0,1,no
Q12587326,Kim Myeong-gook,1963-03-02,acting,no,Baemoon High School,1,1,no
Q12587385,Kim Mi-hui,1964-04-18,acting,no,Dankook University,1,1,no
Q55728303,Kim Jae-rok,1965-11-07,both,no,,0,1,no
Q55729476,류창우,1966-05-18,acting,no,,0,1,yes
Q55730773,서경화,1968-04-02,acting,no,,0,1,yes
Q55731372,Sin Yeong-jin,1967-12-10,acting,no,,0,1,no
Q55732856,유학승,1969-03-04,acting,no,,0,1,yes
Q55733128,Lee Nam-Hee,1962-04-10,acting,no,,0,1,no
Q55733550,Lee Hwang-eui,1967-12-09,acting,no,Chungam High School,1,2,no
Q55733886,Jackie Lim,1966-10-07,acting,no,Sophia University,1,2,no
Q55734081,Jung Byung Ho,1963-09-09,acting,no,,0,1,no
Q55734771,Chae Yu-mi,1967-02-22,acting,no,,0,1,no
Q55736768,Kim Jeong-pal,1967-04-06,acting,no,Anyang Arts High School,1,1,no
Q56691094,Kyu-Man Cho,1969-07-06,music,no,Kyung Hee University,1,1,no
Q57912164,Lee Jung-wook,1964-07-29,acting,no,Kaywon High School of Arts,1,1,no
Q3335107,Ahn Nae-sang,1964-12-25,acting,no,Yonsei University,1,14,no
Q3365439,Park Young-hoon,1964-08-11,acting,no,Dongguk University,1,2,no
Q3881272,Oh Seh-wong,1961-06-20,music,no,Yonsei University | Whimoon High School,2,4,no
Q3887437,Ounie Lecomte,1966-11-17,acting,no,,0,11,no
Q58474266,박기영 (1964년),1964-12-31,music,yes,Sangmoon High School,1,1,yes
Q58476154,유준열 (가수),1963-12-08,music,yes,Youngdong High School,1,1,yes
Q60059402,안문현 (방송인),1969-09-15,acting,no,Seattle University,1,1,yes
Q60059411,Yang Joon Il,1969-08-19,music,no,,0,5,no
Q60514637,Seong Ji-hoon,1962-10-26,music,no,,0,4,no
Q61050481,이동은 (가수),1963-12-07,music,no,Sungdong High School,1,1,yes
Q61679273,Seung-hwa Park,1969-03-11,music,yes,,0,1,no
Q63778055,최호섭 (가수),1964-07-29,both,no,Seoul Institute of the Arts,1,1,yes
Q79904398,Oh Myung-geun,1968-08-05,acting,no,,0,1,no
Q79904508,Kim Kang-sok,1961-09-03,,no,,0,1,no
Q79904665,노경희,1963-01-27,music,no,,0,1,yes
Q79904724,김현주,1969-11-29,music,no,,0,1,yes
Q81226794,현자,1966-03-21,music,no,,0,1,yes
Q81227185,윤진호,1965-03-18,acting,no,,0,1,yes
Q85010348,조민건,1969-12-11,music,no,Songdo Middle School,1,1,yes
Q85010349,이재영,1968-06-23,music,no,,0,1,yes
Q85975030,Kim Yong-su,1969-05-03,acting,no,,0,1,no
Q85975295,김혜정,1968-01-03,music,no,,0,1,yes
Q85985748,Cha Yeong-ok,1960-03-05,acting,no,,0,1,no
Q97190867,Joen Hae-yoeng,1965-06-15,acting,no,,0,1,no
Q97198161,Yoon Mi-hyang,1969-08-02,acting,no,,0,1,no
Q97209369,An Gye-beom,1969-03-10,acting,no,,0,1,no
Q97237401,Kim Seong Hee,1968-06-06,acting,no,Korea University,1,1,no
Q97238484,Jeong Ha-hyeon,1961-04-06,acting,no,,0,1,no
Q3936510,Sung Dong-il,1967-04-27,acting,no,Yuhan University,1,13,no
Q4132779,Kim Yun-seok,1968-01-21,acting,no,Dong-eui University,1,14,no
Q97238590,최우선,1968-10-27,music,no,,0,1,yes
Q97338525,남주희,1969-08-03,acting,no,,0,1,yes
Q97338801,이기철,1965-01-04,acting,no,,0,1,yes
Q97338946,차건우,1966-03-09,acting,no,,0,1,yes
Q105704889,권경하,1965-05-11,acting,no,,0,1,yes
Q105705056,김병림,1968-11-30,acting,no,,0,1,yes
Q105705372,마이진,1968-07-21,music,no,,0,1,yes
Q105705532,Park Sinyoung,1968-12-01,acting,no,,0,1,no
Q105705551,박정식,1961-06-01,music,no,,0,1,yes
Q105705905,안정모,1967-12-08,music,yes,,0,1,yes
Q105705945,양하영,1961-06-14,music,no,,0,1,yes
Q105705999,Ok Joo-ri,1963-10-26,acting,no,,0,1,no
Q105706003,Wang Tae-eon,1960-04-01,acting,no,,0,1,no
Q105706583,주세훈,1963-11-28,music,no,,0,1,yes
Q105706618,Cha Mi-kyung,1965-07-25,acting,no,,0,6,no
Q106649952,Cheon Jeongha,1969-07-22,acting,no,Hongik University,1,2,no
Q107108996,김기태,1968-01-01,music,no,,0,1,yes
Q107109020,김보성,1967-07-23,music,no,,0,1,yes
Q107109457,우설민,1962-08-03,music,no,,0,1,yes
Q107109604,이태호,1964-02-19,music,no,,0,1,yes
Q107109820,Ha Min,1969-09-20,acting,no,University of Southern California,1,1,no
Q107109824,하준,1965-01-16,music,no,,0,1,yes
Q107109857,Hyeon-joon,1961-09-17,music,no,,0,1,no
Q107283044,Kim Su-jin,1967-01-05,acting,no,,0,0,no
Q112023275,루카,1966-12-31,music,yes,,0,1,yes
Q112023273,남준봉,1969-03-11,music,yes,,0,1,yes
Q112023280,이창희,1969-11-02,music,yes,,0,1,yes
Q112023286,이희숙,1964-05-22,music,yes,,0,1,yes
Q113489980,유승범,1964-07-13,music,no,,0,1,yes
Q113490075,배금,1969-03-21,music,no,,0,1,yes
Q113490130,송정미,1967-04-30,music,no,,0,1,yes
Q113490463,Kim Seung-mi,1969-02-04,acting,no,,0,1,no
Q113644494,Kim Kwak-kyung-hee,1969-01-24,acting,no,,0,0,no
Q113813485,Nam Mi-jung,1968-10-08,acting,no,,0,6,no
Q115134283,SunAh Choi,1962-09-28,acting,no,Incheon City College | Soongeui Girls' High School | Paiwha Girls' Middle School,3,1,no
Q115326431,Jung Dae-yong,1964-09-27,acting,no,,0,0,no
Q115527999,김이슬,1966-08-29,acting,no,,0,1,yes
Q115528129,황미숙,1961-02-20,acting,no,,0,1,yes
Q117133718,김희라,1969-02-11,music,no,,0,1,yes
Q117133716,황인정,1969-10-16,acting,no,Sookmyung Women's University,1,1,yes
Q117133948,김란영,1963-09-26,music,no,,0,1,yes
Q117307190,Yang Hyeong Seong,1969-11-11,music,no,Dong-Ah Institute of Media and Arts | Posung High School,2,0,no
Q124961367,양원식,1966-09-10,music,no,,0,1,yes
Q124961721,Cho Joon-hyoung,1963-11-14,acting,no,,0,1,no
Q126683810,Kim Hea Kyung,1966-09-12,music,no,,0,13,no
Q126684239,홍실,1968-08-08,music,no,,0,1,yes
Q126684358,최영재,1967-10-15,acting,no,,0,1,yes
Q126684375,권용욱,1969-04-08,music,no,,0,1,yes
Q126684485,석미경,1967-12-26,music,no,,0,1,yes
Q126954493,이새벽,1966-10-20,acting,no,,0,1,yes
Q130539667,김신열,1969-08-14,acting,no,,0,1,yes
Q130539720,이기선,1960-02-24,acting,no,,0,1,yes
Q130539721,이진선,1964-01-01,acting,no,,0,1,yes
Q130539756,명현수,1964-08-13,music,no,,0,1,yes
Q131547681,Jeong Mi-Gyung,1965-08-17,acting,no,,0,1,no
Q131547769,예민,1966-04-24,music,no,,0,1,yes
Q131547775,권은정,1966-10-02,acting,no,,0,1,yes
Q131767403,Lee Yoon-Hee,1960-01-28,acting,no,Dong-eui University,1,0,no
Q133826393,희승연,1963-02-13,music,no,,0,1,yes
Q133826487,이정옥,1969-08-15,music,no,,0,1,yes
Q136449141,Jang Nak-hee,1963-12-14,acting,no,,0,1,no
Q137800370,Hang Mioku,1962-02-05,music,no,,0,1,no
Q139899306,Im Ok-gyeong,1960-06-23,acting,no,,0,0,no
Q140314852,Jo Yong-Won,1967-09-27,acting,no,,0,0,no
Q1723708,Moon Signal,1965-03-08,acting,no,Ewha Womans University | Hochschule für Musik Karlsruhe,2,2,no
Q7882103,Una Damon,1964-08-10,acting,no,,0,3,no
Q97203528,Amira Chun,1963-09-12,music,no,,0,1,no
Q107469945,Katherine Jun,1964-07-11,music,no,Ewha Womans University | University of Washington | Portland State University,3,0,no
Q107512369,Kang Mi Kim,1969-01-02,music,no,Seoul National University | University of Washington | University of Oregon,3,0,no
Q489681,Lee Sun-kyun,1975-03-02,acting,no,Korea National University of Arts,1,30,no
Q489748,Kang Ji-hwan,1979-03-20,acting,no,Chosun University,1,17,no
Q625550,Ji Sang-ryeol,1970-12-26,both,no,Seoul National University,1,7,no
Q625612,Bak Seon-yeong,1970-02-08,acting,no,,0,3,no
Q625640,Lee Yong-shin,1975-02-27,both,no,Hanyang Middle School,1,7,no
Q625698,Kim Min-jong,1972-03-23,both,yes,Seoul Institute of the Arts,1,10,no
Q489517,Park Myeong-su,1970-08-27,both,no,Myongji University,1,12,no
Q489575,Baek Ji-young,1976-03-25,music,no,Kyung Hee Cyber University,1,19,no
Q489604,Yang Dong-geun,1979-06-01,both,no,Kyungbock High School,1,17,no
Q81531,Jung Chan,1971-02-23,acting,no,Kyungwoon University,1,11,no
Q186601,Lee Min-woo,1979-07-28,both,yes,Kookmin University,1,14,no
Q196223,Kim Hye-soo,1970-09-05,acting,no,,0,24,no
Q489874,Shim Eun-ha,1972-09-23,acting,no,Korea National Open University,1,13,no
Q489888,MC Mong,1979-09-04,both,yes,Dong-Ah Institute of Media and Arts | Baemyung High School,2,13,no
Q489960,Chae Jung-an,1977-10-21,both,no,Dongguk University,1,21,no
Q490067,Cha Seung-won,1970-06-07,acting,no,Dankook University High School,1,19,no
Q229389,Yunjin Kim,1973-11-07,both,no,Boston University | Fiorello H. LaGuardia High School | Boston University College of Fine Arts | British American Drama Academy,4,41,no
Q232491,Lee Hyori,1979-02-19,music,yes,Kookmin University | Kyung Hee University,2,35,no
Q6684662,Jeong So-yeong,1979-01-06,acting,no,Chonnam National University,1,3,no
Q6686013,Jung Sun-kyung,1971-02-08,acting,no,Yonsei University | Hanyang University,2,2,no
Q6686250,Jung Jun,1979-03-06,acting,no,Chongshin University,1,8,no
Q6694733,Jo Eun-suk,1970-08-07,acting,no,Hanyang Women's University,1,11,no
Q236603,Lee Young-ae,1971-01-31,acting,no,Hanyang University | Chung-Ang University,2,43,no
Q241873,Linda Park,1978-07-09,acting,no,Boston University | London Academy of Music and Dramatic Art | Royal Academy of Dramatic Art | Boston University College of Fine Arts,4,25,no
Q626441,Lee Yoo-jin,1977-01-08,acting,no,Seoul Women's University,1,7,no
Q626471,MC Sniper,1979-02-08,music,no,,0,4,no
Q626615,Park Seong-ung,1973-01-09,acting,no,Hankuk University of Foreign Studies,1,16,no
Q11255916,Zero,1972-05-14,music,no,Dankook University,1,2,no
Q11264845,Yoo Hai-jin,1970-01-04,acting,no,Seoul Institute of the Arts,1,15,no
Q11284370,Ha Soo Bin,1973-05-03,music,no,Yonsei University,1,7,no
Q11297015,김준현 (배우),1978-02-27,acting,no,,0,2,yes
Q11317852,Choi Won-young,1976-01-10,acting,no,Sangmyung University | Hongik University,2,15,no
Q11328751,Pak Ton-ha,1974-06-28,acting,no,Chung-Ang University,1,2,no
Q12584347,Go Young-bin,1973-08-18,acting,no,,0,1,no
Q12584351,Go Youngwook,1976-02-17,music,no,Myongji High School,1,1,no
Q12584398,고재형 (가수),1979-03-06,music,no,,0,1,yes
Q12584401,Ko Jeong-min,1979-04-16,acting,no,,0,1,no
Q12584750,Gong Jeong-hwan,1976-02-15,both,no,Kyunggi High School,1,2,no
Q12585445,Gu Bon-seung,1973-09-11,both,no,Myongji University,1,4,no
Q12585562,Ku Tchä-hun,1972-12-18,music,yes,,0,1,no
Q12586076,Kwon Hae-sung,1979-05-23,acting,no,Myongji College,1,3,no
Q12586080,Kwon Min-jung,1976-04-27,both,no,Cheongju University,1,1,no
Q12586294,Green Face,1971-02-23,music,yes,,0,1,no
Q12586819,Gilgun,1979-04-19,music,no,Busan Arts College | Korea Marine Meister High School,2,3,no
Q490113,Kim Myung-min,1972-10-08,acting,no,Seoul Institute of the Arts,1,15,no
Q490130,Jung Joon-ho,1970-10-01,both,no,Kyung Hee University,1,14,no
Q490170,Lee Ji-ah,1978-08-06,acting,no,Gawon Middle School,1,27,no
Q292687,Kim Ha-neul,1978-02-21,acting,no,Seoul Institute of the Arts,1,27,no
Q292723,Im Su-jeong,1979-07-11,acting,no,Myungduk Girls' High School | Myungil Middle School,2,22,no
Q6765848,Hwang Geum-hee,1977-08-20,acting,no,Dongguk University,1,12,no
Q6771096,Kwon Oh-jung,1971-11-24,acting,no,Hongik University,1,7,no
Q6773205,Yang Jung-a,1971-07-25,acting,no,,0,11,no
Q6776189,Im Ji-gyu,1978-04-14,acting,no,Kosin University,1,7,no
Q332998,Ryoo Seung-wan,1973-12-15,acting,no,,0,16,no
Q333163,Kim Tae-hun,1975-05-26,acting,no,Hanyang University,1,9,no
Q334504,Bae Yong-joon,1972-08-29,acting,no,Sungkyunkwan University,1,28,no
Q2274241,Chunja,1979-04-05,both,no,Jangan University,1,2,no
Q2366485,Sungji Hong,1973-07-09,other,no,,0,3,no
Q2680438,Shim Hyeong-tak,1978-01-12,acting,no,University of Suwon | Dongguk University,2,12,no
Q2783792,Park Yong-woo,1971-03-16,acting,no,Chung-Ang University,1,7,no
Q3005463,Crown J,1979-11-12,music,no,California State University,1,4,no
Q6694836,Cho Yeon-woo,1971-05-30,acting,no,,0,6,no
Q6696924,Lucid Fall,1975-03-18,music,yes,Seoul National University | Swiss Federal Institute of Technology in Lausanne | Royal Institute of Technology,3,5,no
Q6742134,Choo Ja-hyun,1979-01-20,acting,no,Dankook University,1,18,no
Q6742488,Woo Hee-jin,1975-05-24,acting,no,Seoul Institute of the Arts,1,9,no
Q6814270,Yoon Hyun-suk,1971-12-27,both,no,Chung-Ang University | Dankook University,2,3,no
Q6814406,Yoon Hae-young,1972-01-05,acting,no,Kyonggi University,1,10,no
Q6814685,Yoon Se-ah,1978-01-02,acting,no,Yong In University,1,17,no
Q6820702,Song Eun-i,1973-01-04,music,yes,Seoul Institute of the Arts,1,8,no
Q490380,Park Hae-il,1977-01-26,acting,no,Namseoul University | Hwagok High School,2,15,no
Q490389,Kim Soo-ro,1970-05-07,acting,no,Seoul Institute of the Arts | Dongguk University,2,15,no
Q490410,Ha Jung-woo,1978-03-11,acting,no,Chung-Ang University,1,18,no
Q626806,Hong Seok-cheon,1971-02-03,acting,no,Hanyang University,1,18,no
Q626879,Yoon Chan,1972-01-03,acting,no,Dankook University,1,5,no
Q626896,Kim Dong-ryul,1974-03-15,music,yes,Yonsei University | Berklee College of Music | Whimoon High School,3,6,no
Q626991,Lee Jaijin,1979-07-18,music,yes,Seocheon Elementary School,1,12,no
Q3079167,Lee Hee-jin,1979-05-16,both,yes,Dong-Ah Institute of Media and Arts,1,11,no
Q3183655,Kim Min-kyo,1974-04-15,acting,no,Seoul Institute of the Arts,1,7,no
Q3269532,Youjeen,1977-07-05,music,yes,Sangmyung University,1,3,no
Q3582801,Choi Kang-hee,1977-05-05,acting,no,Seoil University,1,20,no
Q3703166,Han Sang-jin,1977-12-09,acting,no,Seoul Institute of the Arts,1,10,no
Q12588841,Kim Jin,1973-08-23,both,no,Kyung Hee University,1,1,no
Q12588851,Kim Cin-man,1972-02-25,music,no,,0,1,no
Q12588862,Kim Jin-su,1971-02-20,acting,no,Yongsan High School,1,1,no
Q12588876,김진원 (1970년),1970-02-23,music,yes,,0,1,yes
Q12588915,Kim Chang-yeol,1973-12-26,music,yes,Kyung Hee Cyber University,1,2,no
Q12589020,Kim Tae-gyun,1972-09-16,both,no,Seoul Institute of the Arts | Kyung Hee Cyber University,2,5,no
Q12589039,김태우 (1970년),1970-01-25,music,no,Korea University,1,1,yes
Q12589040,Kim Tae-woo,1971-04-15,acting,no,Chung-Ang University | Seoul Banpo Elementary School,2,11,no
Q11345490,Yang Jin-woo,1979-09-03,acting,no,Queensland University of Technology,1,5,no
Q11486248,Yoshinori Kō,1970-08-04,acting,no,,0,1,no
Q11556476,Hon Insun,1974-05-16,acting,no,Osaka University of Arts,1,2,no
Q11677044,Choi Min-yong,1977-04-20,acting,no,Seoil University,1,9,no
Q299395,Yiruma,1978-02-15,music,no,,0,39,no
Q303805,Verbal,1975-08-21,music,yes,Boston College | St. Mary's International School,2,7,no
Q12588586,Kim Jeong-hak,1972-02-16,acting,no,,0,4,no
Q12588758,Kim Jun-son,1970-02-09,music,no,Yonsei University,1,1,no
Q12588811,Kim Ji-yeon,1978-03-01,acting,no,,0,2,no
Q12588824,Kim Ji-hyun,1972-08-16,both,yes,Myongji University,1,8,no
