name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Kwon Na-ra,kwon-na-ra,Kwon Nara,1991-03-13,2,138,13
Kim Roe-ha,kim-roe-ha,Kim Roi-ha,1965-11-15,2,137,76
Choi Sung-eun,choi-sung-eun,Choi Sung-eun,1996-06-17,3,136,41
Yun Jong-hun,yun-jong-hun,Yoon Jong-hoon,1984-02-15,3,136,22
Kim Hye-yoon,kim-hye-yoon,Kim Hye-yoon,1996-11-10,5,135,29
Shin Hyun-been,shin-hyun-been,Shin Hyun-been,1986-04-10,5,135,66
Shin Jae-hwi,shin-jae-hwi,Shin Jae-hwi,1994-02-17,2,135,31
Yeon Woo-jin,yeon-woo-jin,Yeon Woo-jin,1984-07-05,3,135,29
Ahn Dong-goo,ahn-dong-goo,Ahn Dong-goo,1993-11-02,2,134,36
Im Su-jeong,im-su-jeong,Im Soo-jung,1979-07-11,3,134,36
Jung Woo-sung,jung-woo-sung,Jung Woo-sung,1973-04-22,5,134,54
Lee Geung-young,lee-geung-young,Lee Geung-young,,9,133,47
Zo In-sung,zo-in-sung,Zo In-sung,1981-07-28,3,130,67
An Se-ho,an-se-ho,An Se-ho,1981-02-17,3,124,45
Lee Min-ki,lee-min-ki,Lee Min-ki,1985-01-16,3,124,34
Cha Rae-hyung,cha-rae-hyung,Cha Rae-hyung,,2,122,45
Kim Hee-ae,kim-hee-ae,Kim Hee-ae,1967-04-23,5,122,47
Hong Min-gi,hong-min-gi,Hong Min-gi,2002-03-12,2,120,45
Han Ji-hyun,han-ji-hyun,Han Ji-hyun,,2,119,66
Kim Min-seok,kim-min-seok,Kim Min-seok (actor),,2,119,74
Woo Ji-hyeon,woo-ji-hyeon,Woo Ji-hyun,1986-06-03,2,119,45
Cho Yeo-jeong,cho-yeo-jeong,Cho Yeo-jeong,1981-02-10,2,118,55
Lee Min-ho,lee-min-ho,Lee Min-ho,1987-06-22,3,118,25
Jung Ga-ram,jung-ga-ram,Jung Ga-ram,1993-02-23,2,117,40
Kim Young-kwang,kim-young-kwang,Kim Young-kwang (actor),,4,116,46
Ji Chang-wook,ji-chang-wook,Ji Chang-wook,1987-07-05,3,112,39
Lee Hyun-wook,lee-hyun-wook,Lee Hyun-wook,1985-06-17,3,112,40
Nam Da-reum,nam-da-reum,Nam Da-reum,2002-06-13,3,110,37
Ok Ja-yeon,ok-ja-yeon,Ok Ja-yeon,1988-12-19,2,109,47
Park Hee-soon,park-hee-soon,Park Hee-soon,1970-02-13,8,108,35
Park Se-wan,park-se-wan,Park Se-wan,1994-09-24,3,108,43
Yoon Kye-sang,yoon-kye-sang,Yoon Kye-sang,1978-12-20,4,106,39
Jeon So-min,jeon-so-min,Jeon So-min,1986-04-07,2,105,43
Lee Haeyoung,lee-haeyoung,"Lee Hye-young (actress, born 1962)",,3,105,18
Cho Jin-woong,cho-jin-woong,Cho Jin-woong,1976-03-03,7,100,37
Lee Yu-bi,lee-yu-bi,Lee Yu-bi,1990-11-22,2,100,43
Hyun Bong-sik,hyun-bong-sik,Hyun Bong-sik,1984-10-20,4,97,30
Ji Seong,ji-seong,Ji Sung,1977-02-27,4,97,20
Kim Dong-yeong,kim-dong-yeong,Kim Dong-young (actor),,3,97,37
Kim Hye-eun,kim-hye-eun,Kim Hye-eun,1973-03-01,2,97,4
Sung Dong-il,sung-dong-il,Sung Dong-il,1967-04-27,10,97,12
Lee Il-hwa,lee-il-hwa,Lee Il-hwa,1970-01-03,2,94,31
Kim Ok-vin,kim-ok-vin,Kim Ok-vin,1987-01-03,3,92,51
Seo Hyun-jin,seo-hyun-jin,Seo Hyun-jin,1985-02-27,3,92,42
Song Kang-ho,song-kang-ho,Song Kang-ho,1967-01-17,8,91,32
Lee Min-jung,lee-min-jung,Lee Min-jung,1982-02-16,4,90,11
Kim Yun-seok,kim-yun-seok,Kim Yoon-seok,1968-01-21,4,89,40
Yook Sung-jae,yook-sung-jae,Yook Sung-jae,1995-05-02,2,89,9
Seo Yea-ji,seo-yea-ji,Seo Yea-ji,1990-04-06,5,88,19
Oh Yeon-seo,oh-yeon-seo,Oh Yeon-seo,1987-06-22,4,87,10
Lim Ju-hwan,lim-ju-hwan,Lim Ju-hwan,1982-05-18,2,86,10
Chun Ho-jin,chun-ho-jin,Chun Ho-jin,1960-09-09,2,84,15
Ko Chang-seok,ko-chang-seok,Ko Chang-seok,1970-10-13,5,84,21
Lee Ki-woo,lee-ki-woo,Lee Ki-woo,1981-10-23,2,84,15
Lim Ye-jin,lim-ye-jin,Im Ye-jin,1960-01-24,2,84,9
Kim Do.hyun,kim-dohyun,Kim Do.hyun,1977-12-02,2,82,15
Jung Woong-in,jung-woong-in,Jung Woong-in,,3,81,20
Lee David,lee-david,Lee David,1994-03-03,3,81,5
Lee Ha-nee,lee-ha-nee,Lee Hanee,1983-03-02,7,81,22
Eugene,eugene,Eugene (actress),,2,79,13
Han Hye-jin,han-hye-jin,Han Hye-jin (actress),1981-10-27,2,79,10
Jeong Ho-bin,jeong-ho-bin,Jeong Ho-bin,1969-04-08,2,79,9
Lee Joo-young,lee-joo-young-actress-born-1992,"Lee Joo-young (actress, born 1992)",,2,79,4
Moon Chae-won,moon-chae-won,Moon Chae-won,1986-11-13,4,79,39
Kim Dong-hee,kim-dong-hee,Kim Dong-hee (actor),,2,78,5
Kim Jae-hwa,kim-jae-hwa,Kim Jae-hwa,1980-09-01,2,78,21
Kim Jong-soo,kim-jong-soo,Kim Jong-soo (actor),,5,76,21
Kim Young-dae,kim-young-dae,Kim Young-dae,1996-03-02,3,75,21
Choi Moo-sung,choi-moo-sung,Choi Moo-sung,1968-01-12,4,74,20
Kwon Soo-hyun,kwon-soo-hyun,Kwon Soo-hyun (actor),1986-08-18,2,74,10
Lee Ji-ah,lee-ji-ah,Lee Ji-ah,1978-08-06,3,74,13
Park So-jin,park-so-jin,Park So-jin,1986-05-21,2,74,21
Jang Dong-yoon,jang-dong-yoon,Jang Dong-yoon,1992-07-12,3,73,28
Jung Yoo-jin,jung-yoo-jin,Jung Yoo-jin,,2,73,33
Kwak Si-yang,kwak-si-yang,Kwak Si-yang,1987-01-15,2,73,10
Choi Sung-won,choi-sung-won,Choi Sung-won (actor),1985-01-17,4,72,14
Lee Hye-ri,lee-hye-ri,Lee Hye-ri,1994-06-09,3,71,10
Lee Sung-kyoung,lee-sung-kyoung,Lee Sung-kyung,1990-08-10,2,71,20
Lee Yoo-young,lee-yoo-young,Lee Yoo-young,1989-12-08,5,70,9
Park Ye-young,park-ye-young,Park Ye-young,1989-08-22,2,69,21
Seo Joo-hyun,seo-joo-hyun,Seohyun,1991-06-28,2,69,33
Jeong Man-sik,jeong-man-sik,Jung Man-sik,1974-12-11,7,68,11
Kim Do-hoon,kim-do-hoon,Kim Do-hoon (actor),,3,68,9
Kim Sun-a,kim-sun-a,Kim Sun-a,1973-10-01,4,68,48
Lee Dong-hwi,lee-dong-hwi,Lee Dong-hwi,1985-07-22,4,68,9
Yoon Joo-hee,yoon-joo-hee,Yoon Joo-hee,1985-02-21,2,68,13
Gong Seung-yeon,gong-seung-yeon,Gong Seung-yeon,,2,67,12
Jang Shin-young,jang-shin-young,Jang Shin-young,1984-01-17,2,67,37
Jung Moon-sung,jung-moon-sung,Jung Moon-sung,1981-01-13,3,66,10
Oh Yeon-soo,oh-yeon-soo,Oh Yeon-soo,1971-10-27,2,65,15
Kim Jae-joong,kim-jae-joong,Kim Jae-joong,1986-01-26,2,64,31
Kim Sang-kyung,kim-sang-kyung,Kim Sang-kyung,1972-06-01,4,64,21
Um Ki-joon,um-ki-joon,Um Ki-joon,1976-03-23,2,64,13
Jeon Seong-woo,jeon-seong-woo,Jeon Sung-woo,1987-12-30,3,63,29
Moon Ga-young,moon-ga-young,Moon Ga-young,1996-07-10,2,63,14
Kim Byeong-ok,kim-byeong-ok,Kim Byeong-ok,1960-10-11,7,61,11
Choi Min-sik,choi-min-sik,Choi Min-sik,1962-04-27,7,60,23
Song Yeong-chang,song-yeong-chang,Song Young-chang,1958-04-02,5,59,10
Cho Seung-woo,cho-seung-woo,Cho Seung-woo,1980-03-28,4,58,10
Kim Ju-hun,kim-ju-hun,Kim Joo-hun,1980-03-01,3,57,20
Song Geon-hee,song-geon-hee,Song Geon-hee,1997-08-16,2,56,13
Lim Chul-hyung,lim-chul-hyung,Lim Chul-hyung,1974-04-25,3,55,13
Kwon Hae-hyo,kwon-hae-hyo,Kwon Hae-hyo,1965-11-06,5,54,13
Lee Sang-hee,lee-sang-hee,Lee Sang-hee (actress),1983-10-08,2,54,31
Shin Jung-geun,shin-jung-geun,Shin Jung-geun,1966-09-26,4,54,11
Lee Joon-gi,lee-joon-gi,Lee Joon-gi,1982-04-17,3,53,12
Seo Kang-jun,seo-kang-jun,Seo Kang-joon,1993-10-12,3,53,38
Keum Sae-rok,keum-sae-rok,Keum Sae-rok,1992-09-06,2,52,12
Kim Min-jae,kim-min-jae-actor-born-1996,"Kim Min-jae (actor, born 1996)",,2,51,13
Ryu Hye-young,ryu-hye-young,Ryu Hye-young,1991-03-28,3,51,7
Lee Dong-wook,lee-dong-wook,Lee Dong-wook,1981-11-06,5,50,7
Gong Hyo-jin,gong-hyo-jin,Gong Hyo-jin,1980-04-04,3,49,19
Lee Se-young,lee-se-young,Lee Se-young,,4,49,12
Choi Jin-ho,choi-jin-ho,Choi Jin-ho (actor),1968-05-26,2,47,10
Yoo Hai-jin,yoo-hai-jin,Yoo Hae-jin,1970-01-04,9,47,3
Kim Bo-ra,kim-bo-ra,Kim Bo-ra,,3,46,18
Ryoo Seung-bum,ryoo-seung-bum,Ryoo Seung-bum,1980-08-09,4,46,20
Park Ji-hyun,park-ji-hyun,Park Ji-hyun (actress),1994-11-26,5,45,10
Song Jong-ho,song-jong-ho,Song Jong-ho,1976-10-05,2,45,4
Kim Kang-hoon,kim-kang-hoon,Kim Kang-hoon,2009-06-07,4,44,8
Kim Kyung-nam,kim-kyung-nam,Kim Kyung-nam,,2,43,7
Kwak Do-won,kwak-do-won,Kwak Do-won,1974-05-17,7,43,9
Lee Sang-yeob,lee-sang-yeob,Lee Sang-yeob,1983-05-08,2,43,19
Yoo Sun,yoo-sun,Yoo Sun,1976-02-11,3,43,18
Choi Min-soo,choi-min-soo,Choi Min-soo,1962-03-27,2,42,20
Krystal Jung,krystal-jung,Krystal Jung,1994-10-24,3,42,9
Han Ji-eun,han-ji-eun,Han Ji-eun,,2,41,19
Jang Gwang,jang-gwang,Jang Gwang,1952-01-05,5,41,12
Jung In-gi,jung-in-gi,Jung In-gi,1966-09-12,2,41,13
Lim Semi,lim-semi,Im Se-mi,1987-05-29,3,41,6
Jung Hye-young,jung-hye-young,Jung Hye-young,1973-12-14,2,40,12
Jang Hee-jin,jang-hee-jin,Jang Hee-jin,1983-05-09,3,39,14
Cho Hyun-chul,cho-hyun-chul,Cho Hyun-chul,1986-12-24,2,38,8
Kim Eung-su,kim-eung-su,Kim Eung-soo,1961-02-12,3,38,3
Lee Mi-yeon,lee-mi-yeon,Lee Mi-yeon,1971-09-23,2,38,20
Yeo Jin-goo,yeo-jin-goo,Yeo Jin-goo,1997-08-13,5,38,12
Lee Bo-young,lee-bo-young,Lee Bo-young,1979-01-12,3,37,11
Byun Yo-han,byun-yo-han,Byun Yo-han,1986-04-29,4,36,5
Choi Byung-mo,choi-byung-mo,Choi Byung-mo,1972-01-14,4,35,8
Kim Min-joung,kim-min-joung,Kim Min-jung (actress),1982-07-30,2,35,6
Kwak Sun-young,kwak-sun-young,Kwak Sun-young,1983-03-29,2,35,7
Baek Sung-chul,baek-sung-chul,Baek Sung-chul,,2,34,7
Jin Goo,jin-goo,Jin Goo,1980-07-20,3,34,6
Lim Hwa-young,lim-hwa-young,Lim Hwa-young,,2,34,3
Cha Eun-woo,cha-eun-woo,Cha Eun-woo,1997-03-30,3,33,12
Jung Yu-mi,jung-yu-mi,"Jung Yu-mi (actress, born 1983)",1983-01-18,2,33,10
Kang Sin-il,kang-sin-il,Kang Shin-il,1960-11-26,5,33,5
Joo Jin-mo,joo-jin-mo,"Joo Jin-mo (actor, born 1958)",,3,32,8
Lee Sun-kyun,lee-sun-kyun,Lee Sun-kyun,1975-03-02,6,32,7
Kim Tae-ri,kim-tae-ri,Kim Tae-ri,1990-04-24,5,31,4
Lee Eol,lee-eol,Lee Eol,1964-04-05,2,31,10
Shin Ha-kyun,shin-ha-kyun,Shin Ha-kyun,1974-05-30,5,31,8
Ahn Nae-sang,ahn-nae-sang,Ahn Nae-sang,1964-12-25,4,30,7
Han Ye-ri,han-ye-ri,Han Ye-ri,1984-12-23,2,30,8
Kim Min-sang,kim-min-sang,Kim Min-sang,1968-02-07,2,30,7
Oh Kwang-rok,oh-kwang-rok,Oh Kwang-rok,1962-08-28,2,30,22
Park Sung-geun,park-sung-geun,Park Sung-geun,1971-05-02,3,30,12
Yoon Jin-seo,yoon-jin-seo,Yoon Jin-seo,1983-08-05,2,30,22
Roh Jae-won,roh-jae-won,Roh Jae-won,1993-10-13,2,29,8
Woo Hyun,woo-hyun,Woo Hyun,,3,29,12
Choi Ri,choi-ri,Choi Ri,1995-06-29,3,28,4
Choi Woong,choi-woong,Choi Woong,1986-12-28,2,28,3
Hong Kyung,hong-kyung,Hong Kyung,1996-02-14,2,28,10
Kim Min-jae,kim-min-jae,"Kim Min-jae (actor, born 1979)",,5,28,8
Park Ji-hwan,park-ji-hwan,Park Ji-hwan,1980-09-05,6,28,7
Yoo Seung-mok,yoo-seung-mok,Yoo Seung-mok,1969-09-14,4,28,2
Chung Su-bin,chung-su-bin,Chung Su-bin,1998-08-17,3,27,9
Jeon Hye-jin,jeon-hye-jin,"Jeon Hye-jin (actress, born 1976)",,6,27,13
Yum Jung-ah,yum-jung-ah,Yum Jung-ah,1972-07-28,3,27,7
Kang Ki-doong,kang-ki-doong,Kang Ki-doong,,2,26,3
Kim Seolhyun,kim-seolhyun,Kim Seol-hyun,1995-01-03,4,26,8
Lee Ho-jae,lee-ho-jae,Lee Ho-jae (actor),1941-05-02,2,26,3
Min Do-hee,min-do-hee,Min Do-hee,1994-09-25,3,26,13
Park Hyuk-kwon,park-hyuk-kwon,Park Hyuk-kwon,1971-07-11,4,26,5
Jung Hee-tae,jung-hee-tae,Jung Hee-tae,1975-06-22,2,25,7
Park Yoo-na,park-yoo-na,Park You-na,1997-12-23,2,24,12
Ryu Hyun-kyung,ryu-hyun-kyung,Ryu Hyun-kyung,1983-03-10,2,24,15
Kang Ye-won,kang-ye-won,Kang Ye-won,1980-03-15,3,23,6
Lee Yi-kyung,lee-yi-kyung,Lee Yi-kyung,1989-01-08,5,23,4
Kim So-jin,kim-so-jin,Kim So-jin,1979-12-12,3,22,7
Jung Joon-ho,jung-joon-ho,Jung Joon-ho,1970-10-01,5,21,6
Yoon Je-moon,yoon-je-moon,Yoon Je-moon,1970-03-09,3,21,4
Jeong E-suh,jeong-e-suh,Jung Yi-seo,1993-08-13,3,20,4
Lee Je-hoon,lee-je-hoon,Lee Je-hoon,1984-07-04,2,20,5
Lee Tae-ri,lee-tae-ri,Lee Tae-ri,1993-06-28,2,20,6
Oh Dal-su,oh-dal-su,Oh Dal-su,1968-06-15,7,20,7
Cha Tae-hyun,cha-tae-hyun,Cha Tae-hyun,1976-03-25,3,19,8
Ji Hyeon-jun,ji-hyeon-jun,Ji Hyeon-jun,,2,19,6
Jung Dong-hwan,jung-dong-hwan,Jung Dong-hwan,1949-08-05,2,19,5
Kim Chang-wan,kim-chang-wan,Kim Chang-wan,1954-02-22,3,19,4
Lee Min-ji,lee-min-ji,"Lee Min-ji (actress, born 1988)",,2,19,9
Sung Hyuk,sung-hyuk,Sung Hyuk,1984-03-02,3,19,4
Chu Ye-jin,chu-ye-jin,Chu Ye-jin,2001-10-11,2,18,8
Jang Na-ra,jang-na-ra,Jang Na-ra,1981-03-18,2,18,1
Kim Joo-hyuk,kim-joo-hyuk,Kim Joo-hyuk,1972-10-03,2,18,8
Kim Kang-woo,kim-kang-woo,Kim Kang-woo,1978-07-11,3,18,8
Lee Tae-hwan,lee-tae-hwan,Lee Tae-hwan,1995-02-21,2,18,5
Park Hae-jin,park-hae-jin,Park Hae-jin,1983-05-01,2,18,2
Park Won-sang,park-won-sang,Park Won-sang,1970-01-20,2,18,3
Cha Yup,cha-yup,Cha Yup,1986-01-07,2,17,6
Kal So-won,kal-so-won,Kal So-won,2006-08-14,3,17,5
Kwon Yul,kwon-yul,Kwon Yul (actor),1982-06-29,2,17,6
Lee Seo-hwan,lee-seo-hwan,Lee Seo-hwan,,2,17,2
Go Joon,go-joon,Ko Jun,1978-12-08,3,16,6
Ji Seung-hyun,ji-seung-hyun,Ji Seung-hyun (actor),1981-12-19,2,16,3
Jo Hui-bong,jo-hui-bong,Jo Hee-bong,1971-08-23,3,16,6
Kim Seung-woo,kim-seung-woo,Kim Seung-woo,1969-02-24,2,16,12
Park Si-hoo,park-si-hoo,Park Si-hoo,1977-02-15,2,16,9
Kim Jun-han,kim-jun-han,Kim Jun-han,1983-03-29,2,15,1
Park Jeong-hak,park-jeong-hak,Park Jeong-hak,,2,15,1
Park So-dam,park-so-dam,Park So-dam,1991-09-08,2,15,5
Yeom Dong-heon,yeom-dong-heon,Yeom Dong-heon,1968-10-18,2,15,2
Jeon Soo-jin,jeon-soo-jin,Jeon Soo-jin,1988-11-08,2,14,7
Jung Yoo-min,jung-yoo-min,Jung Yoo-min,1991-07-10,2,14,5
Kim Jae-kyung,kim-jae-kyung,Kim Jae-kyung,1988-12-24,2,14,6
Lee Byung-joon,lee-byung-joon,Lee Byung-joon,1964-01-27,2,14,3
P.O,po,P.O,1993-02-02,2,14,1
Park Hae-il,park-hae-il,Park Hae-il,1977-01-26,3,14,4
Park Jin-joo,park-jin-joo,Park Jin-joo,1988-12-24,2,14,2
Son Jong-hak,son-jong-hak,Son Jong-hak,1967-06-20,2,14,3
Song Ji-hyo,song-ji-hyo,Song Ji-hyo,,2,14,5
Ha Jun,ha-jun,Ha Jun,1987-04-03,3,13,5
Lee Beom-soo,lee-beom-soo,Lee Beom-soo,1969-11-25,5,13,5
Namkoong Min,namkoong-min,Namkoong Min,1978-03-12,2,13,3
Youn Yuh-jung,youn-yuh-jung,Youn Yuh-jung,1947-06-19,5,13,2
Bae Nu-ri,bae-nu-ri,Bae Noo-ri,1993-02-04,2,12,5
Choi Won-young,choi-won-young,Choi Won-young,1976-01-10,2,12,2
Go Soo,go-soo,Go Soo,,4,12,4
Kim Dong-wook,kim-dong-wook,Kim Dong-wook,1983-07-29,3,12,5
Ahn Jae-hyun,ahn-jae-hyun,Ahn Jae-hyun,1987-07-01,2,11,7
Doh Kyung-soo,doh-kyung-soo,Doh Kyung-soo,1993-01-12,2,11,5
Jang Hyuk,jang-hyuk,Jang Hyuk,1976-12-20,3,11,2
Kim Dong-hwi,kim-dong-hwi,Kim Dong-hwi,,2,11,2
Lee Ji-won,lee-ji-won,Lee Ji-won,,2,11,3
Lee Na-ra,lee-na-ra,Lee Eun-woo,1980-08-22,2,11,6
Moon Sang-min,moon-sang-min,Moon Sang-min,2000-04-14,2,11,2
Moon Sung-keun,moon-sung-keun,Moon Sung-keun,1953-05-28,2,11,5
Shim Hee-sub,shim-hee-sub,Shim Hee-sub,1986-02-26,2,11,5
Yoon Sang-hyun,yoon-sang-hyun,Yoon Sang-hyun,1973-09-21,3,11,5
Ahn Do-gyu,ahn-do-gyu,Ahn Do-gyu,2000-09-28,2,10,8
Ahn Gil-kang,ahn-gil-kang,Ahn Gil-kang,1966-08-24,2,10,6
Baek Yoon-sik,baek-yoon-sik,Baek Yoon-sik,1947-03-16,3,10,3
Jin Ki-joo,jin-ki-joo,Jin Ki-joo,1989-01-26,3,10,3
Jung Da-bin,jung-da-bin,"Jung Da-bin (actress, born 2000)",2000-04-25,2,10,3
Kim Hong-pa,kim-hong-pa,Kim Hong-pa,,3,10,3
Kim Hyeon-soo,kim-hyeon-soo,Kim Hyun-soo (actress),2000-06-23,3,10,8
Yoon Jin-young,yoon-jin-young,Yoon Jin-young,,2,10,3
Bae In-hyuk,bae-in-hyuk,Bae In-hyuk,,2,9,6
Ji Dae-han,ji-dae-han,Ji Dae-han,1969-01-01,3,9,5
Jin Ji-hui,jin-ji-hui,Jin Ji-hee,1999-03-25,2,9,1
Jo Deok-hyeon,jo-deok-hyeon,Jo Deok-hyeon,1967-05-29,2,9,3
Kang Ye-seo,kang-ye-seo,Kang Ye-seo,2005-08-22,2,9,2
Lee Dae-yeon,lee-dae-yeon,Lee Dae-yeon,1964-11-13,3,9,4
Lee Jong-suk,lee-jong-suk,Lee Jong-suk,1989-09-14,3,9,2
Lee Jung-ha,lee-jung-ha,Lee Jung-ha,1998-02-23,2,9,5
On Joo-wan,on-joo-wan,On Joo-wan,1983-12-11,3,9,2
Park Ji-il,park-ji-il,Park Ji-il,,3,9,5
Park Yong-woo,park-yong-woo,Park Yong-woo,1971-03-16,2,9,1
Jung Gun-joo,jung-gun-joo,Jung Gun-joo,1995-05-26,2,8,2
Jung Jae-young,jung-jae-young,Jung Jae-young,1970-11-21,2,8,6
Kim Hye-na,kim-hye-na,Kim Hye-na,1980-10-25,2,8,7
Kim Min-seo,kim-min-seo,Kim Min-seo,,2,8,7
Kim Sang-joong,kim-sang-joong,Kim Sang-joong,1965-08-06,2,8,2
Lee Ji-hoon,lee-ji-hoon,"Lee Ji-hoon (actor, born 1988)",,3,8,5
Cha Hwa-yeon,cha-hwa-yeon,Cha Hwa-yeon,,2,7,3
Kim Jeong-tae,kim-jeong-tae,Kim Jung-tae,1973-01-01,2,7,3
Kim Sung-min,kim-sung-min,Kim Sung-min (actor),,2,7,3
Kim Tae-hee,kim-tae-hee,Kim Tae-hee,,2,7,3
Park Hyo-joo,park-hyo-joo,Park Hyo-joo,1982-10-08,2,7,2
Um Tae-goo,um-tae-goo,Um Tae-goo,1983-11-09,2,7,3
Bang Min-ah,bang-min-ah,Bang Min-ah,1993-05-13,2,6,1
Hong Jong-hyeon,hong-jong-hyeon,Hong Jong-hyun,1990-02-02,2,6,2
Jin Se-yeon,jin-se-yeon,Jin Se-yeon,1994-02-15,2,6,3
Kim Rae-won,kim-rae-won,Kim Rae-won,1981-03-19,3,6,2
Lee Jong-won,lee-jong-won,Lee Jong-won (model),,2,6,2
Nam Mun-cheol,nam-mun-cheol,Nam Mun-cheol,1971-03-20,2,6,3
Park Cheol-min,park-cheol-min,Park Chul-min,1967-01-18,2,6,3
Yoon Jung-hee,yoon-jung-hee,"Yoon Jung-hee (actress, born 1980)",1980-12-21,2,6,2
Jeon No-min,jeon-no-min,Jeon No-min,1966-08-28,2,5,2
Kim Myung-min,kim-myung-min,Kim Myung-min,1972-10-08,2,5,3
Lee Moon-sik,lee-moon-sik,Lee Moon-sik,1967-11-13,3,5,3
Na Moon-hee,na-moon-hee,Na Moon-hee,1941-11-30,2,5,2
T.O.P,top,T.O.P,1987-11-04,2,5,3
Yoon Da-kyeong,yoon-da-kyeong,Yoon Da-gyeong,1971-07-10,2,5,2
Kim Seo-hyung,kim-seo-hyung,Kim Seo-hyung,1973-10-28,2,4,3
Lee Hye-sook,lee-hye-sook,Lee Hye-sook,1962-09-04,2,4,2
Lee Si-eon,lee-si-eon,Lee Si-eon,1982-07-03,2,4,2
Shim Eun Kyung,shim-eun-kyung,Shim Eun-kyung,1994-05-31,2,4,2
Yang Hye-ji,yang-hye-ji,Yang Hye-ji,1996-01-20,2,4,1
Ha Ji-won,ha-ji-won,Ha Ji-won,1978-06-28,2,3,2
Jang Dong-geon,jang-dong-geon,Jang Dong-gun,1972-03-07,2,3,2
Kim Hwan-hee,kim-hwan-hee,Kim Hwan-hee,2002-08-25,2,3,2
Park In-hwan,park-in-hwan,Park In-hwan (actor),,2,3,2
Park Yeong-gyu,park-yeong-gyu,Park Yeong-gyu,1953-10-28,2,3,2
Hwang Jeong-min,hwang-jeong-min,Hwang Jeong-min,1969-05-23,2,2,2
Lee Yoon-ji,lee-yoon-ji,Lee Yoon-ji,1984-03-15,2,2,2
Sooyoung,sooyoung,Choi Soo-young,1990-02-10,2,2,2
