name,slug,wikipedia_page,born,charting_titles,chart_places,countries
Kim Sae-ron,kim-sae-ron,Kim Sae-ron,2000-07-31,3,635,89
Kim Gun-woo,kim-gun-woo,Kim Gun-woo,,3,630,91
Oh Na-ra,oh-na-ra,Oh Na-ra,1974-10-26,2,628,45
Cho Yi-hyun,cho-yi-hyun,Cho Yi-hyun,,4,627,93
Hwang Min-hyun,hwang-min-hyun,Hwang Min-hyun,1995-08-09,2,627,45
Kim Tae-hun,kim-tae-hun,Kim Tae-hoon (actor),,3,620,69
Kim Hyun-joo,kim-hyun-joo,Kim Hyun-joo,1977-04-24,6,619,93
Kim Ji-hun,kim-ji-hun,"Kim Ji-hoon (actor, born 1981)",,5,619,89
Kim Se-jeong,kim-se-jeong,Kim Se-jeong,1996-08-28,3,615,58
Song Hye-kyo,song-hye-kyo,Song Hye-kyo,,4,614,91
Huh Joon-ho,huh-joon-ho,Huh Joon-ho,1964-04-14,2,612,87
Jung Ziso,jung-ziso,Jung Ji-so,1999-09-17,2,612,91
Cha Joo-young,cha-joo-young,Cha Joo-young,1990-06-05,2,606,91
Go Min-si,go-min-si,Go Min-si,1995-02-15,5,606,57
Shin Ye-eun,shin-ye-eun,Shin Ye-eun,1998-01-18,2,602,91
Seo Yi-sook,seo-yi-sook,Seo Yi-sook,1966-12-06,2,600,80
Jung Hae-in,jung-hae-in,Jung Hae-in,1988-04-01,6,597,69
Choi Siwon,choi-siwon,Choi Si-won,1986-04-07,2,596,88
Kang Tae-oh,kang-tae-oh,Kang Tae-oh,1994-06-20,2,595,57
Kim Seon-ho,kim-seon-ho,Kim Seon-ho,1986-05-08,3,592,60
Kim Sung-kyu,kim-sung-kyu,"Kim Sung-kyu (actor, born 1986)",1989-04-28,3,591,81
Jung Da-eun,jung-da-eun,Jung Da-eun,,2,586,87
Lee Hae-yeong,lee-hae-yeong,Lee Hae-young (actor),1970-09-07,2,584,87
Tae Won-seok,tae-won-seok,Tae Won-seok,1989-06-10,2,584,87
Hwang Jung-min,hwang-jung-min,Hwang Jung-min,1970-09-01,13,579,89
