name,kind,en_wikipedia_views_30d,daily_avg,peak_day,peak_day_views,views_last_7d,last7_vs_daily_avg,also_on_screen_actor_roster
Jung Yu-ri,individual,109,4,20260721,11,18,0.86,no
Brave Brothers,individual,1306,44,20260725,59,301,1.14,no
Kim Bo-yeon,individual,1037,35,20260719,58,207,0.76,no
Kim Da-som,individual,3577,119,20260723,163,815,1.09,yes
Kim Dae-jin (actor),individual,48,2,20260717,5,10,0.67,no
Kim Eana,individual,1507,50,20260723,410,202,0.82,no
Yunho,individual,4694,156,20260723,239,972,1.12,no
Kim Soo-hyun,individual,55403,1847,20260716,3953,12441,1.11,yes
Kang Ji-young,individual,4955,165,20260711,248,1035,0.69,no
Lee Joon,individual,7617,254,20260712,323,1849,0.95,yes
Park Hyun-bin,individual,296,10,20260727,23,54,0.89,no
Sandara Park,individual,13136,438,20260717,1102,3303,1.23,no
Kim Yu-bin,individual,1294,43,20260726,79,296,1.03,no
Sulli,individual,25026,834,20260714,990,5756,0.92,yes
Nicole Jung,individual,4897,163,20260709,699,727,0.33,no
Jang Na-ra,individual,10835,361,20260712,449,2423,0.88,yes
Lee Sung-min (singer),individual,3018,101,20260723,137,722,1.19,no
Park Bom,individual,6062,202,20260804,258,1462,1.01,no
Shin Joong-hyun,individual,1184,39,20260709,60,225,0.68,no
Onew,individual,4822,161,20260801,206,1217,1.18,no
Yoon Eun-hye,individual,9496,317,20260714,386,2213,0.94,yes
Cho Kyu-hyun,individual,5513,184,20260718,231,1302,1.11,no
Eun Ji-won,individual,3414,114,20260730,159,786,0.97,no
Goo Hara,individual,22550,752,20260714,1260,4619,0.72,yes
Han Seung-yeon,individual,4968,166,20260802,234,1170,0.84,yes
Park Gyu-ri,individual,3350,112,20260709,204,724,0.71,no
Han Sun-hwa,individual,7256,242,20260710,276,1601,0.89,no
Min (South Korean singer),individual,2253,75,20260728,113,490,1.07,no
Lim Jeong-hyun,individual,346,12,20260716,23,91,0.98,no
Gary (rapper),individual,3229,108,20260803,145,767,0.96,no
Yoo Jun-sang,individual,4021,134,20260723,176,990,1.12,no
G-Dragon,individual,23807,794,20260804,1006,5894,1.1,no
T.O.P,individual,21711,724,20260729,902,5103,1.03,yes
Bang Yong-guk,individual,1958,65,20260730,210,601,1.53,no
Hyolyn,individual,12084,403,20260723,1302,2449,1.74,no
Jang Yoon-jeong (singer),individual,977,33,20260712,65,192,0.7,no
Kim Bum,individual,21827,728,20260729,1061,4796,0.89,yes
Hwang Chan-sung,individual,7240,241,20260806,330,1945,1.08,no
Kyeon Mi-ri,individual,2531,84,20260709,219,551,0.63,yes
Jang Woo-hyuk,individual,1297,43,20260802,73,340,1.19,no
Kim Dong-wan,individual,1429,48,20260718,66,342,1.07,no
Ko Eun-mi,individual,128,4,20260726,8,36,1.03,no
Baek A-yeon,individual,1228,41,20260726,55,298,1.11,no
Jung Ha-na,individual,1226,41,20260804,57,278,0.97,no
Park Shin-hye,individual,31058,1035,20260802,1229,7786,1.08,yes
Kim Joon,individual,4346,145,20260709,212,890,0.68,no
Lee Hyun,individual,4861,162,20260709,1139,761,0.3,no
Shin Hye-sung,individual,1113,37,20260725,51,271,1.15,no
Joon Park,individual,6771,226,20260710,312,1415,0.77,no
Lucid Fall,individual,269,9,20260717,18,67,1.08,no
Kang Min-hyuk,individual,4073,136,20260710,179,996,1.01,yes
Lee Jang-woo,individual,3440,115,20260802,172,976,1.48,no
Yoon Sang-hyun,individual,4119,137,20260725,180,892,0.89,yes
Shin Jung-hwan,individual,576,19,20260714,46,114,0.65,no
Seo Hyun-jin,individual,11928,398,20260802,468,3030,1.13,yes
Kim Jeong-hoon,individual,1986,66,20260801,81,463,1.04,no
Kwon So-hyun,individual,3367,112,20260712,217,572,0.53,yes
Danny Ahn,individual,2490,83,20260711,168,539,0.73,no
Kim Tae-woo (singer),individual,2255,75,20260711,256,417,0.48,no
Min Hyo-rin,individual,6961,232,20260731,308,1853,1.17,no
Na Hoon-a,individual,434,14,20260711,29,89,0.68,no
Park Kyung-lim,individual,1076,36,20260729,52,254,1.09,no
Jonghyun,individual,23267,776,20260711,1193,5051,0.86,no
Jun. K,individual,4502,150,20260806,209,1295,1.19,no
Kimera (singer),individual,336,11,20260724,23,62,0.87,no
Lee Hong-gi,individual,4497,150,20260725,211,994,1.07,yes
Park Jung-min (singer),individual,1229,41,20260710,64,260,0.79,no
So Ji-sub,individual,221480,7383,20260726,16423,38393,0.81,yes
Tei (singer),individual,516,17,20260708,23,116,0.88,no
U;Nee,individual,1886,63,20260804,181,610,1.85,no
Yoon Kye-sang,individual,7428,248,20260711,320,1729,0.9,yes
Ahn Jae-wook,individual,3019,101,20260806,129,749,1.11,yes
Big Mama King,individual,161,5,20260725,12,37,0.95,no
Jo Han-sun,individual,6923,231,20260730,521,2436,3.69,no
Park Hyo-shin,individual,1948,65,20260714,101,400,0.78,no
Park So-yeon (singer),individual,2661,89,20260730,138,632,1.11,no
Shim Mina,individual,1641,55,20260710,132,314,0.63,no
Shin Hae-chul,individual,3136,105,20260709,258,610,0.82,no
"Yuri (singer, born 1976)",individual,241,8,20260711,17,59,0.84,no
Gain (singer),individual,2533,84,20260714,115,572,0.9,no
Heo Ga-yoon,individual,1114,37,20260727,49,220,0.77,yes
Jo Kwon,individual,3558,119,20260709,181,846,0.95,no
KCM (singer),individual,2081,69,20260723,112,532,1.23,no
Chae Ri-na,individual,661,22,20260713,46,168,0.9,no
Hwang Jung-eum,individual,9390,313,20260718,429,2116,1.17,no
Jang Young-ran,individual,191,6,20260804,15,51,1.46,no
Jeon Boram,individual,2100,70,20260730,103,503,1.14,no
Kim Ja-ok,individual,761,25,20260714,36,177,0.92,no
Lee Ji-hoon (entertainer),individual,1906,64,20260804,85,476,1.15,no
Yoo Jae-suk,individual,13135,438,20260801,1066,4951,1.88,yes
Han Jung-soo,individual,371,12,20260723,21,89,0.93,no
Jun Jin,individual,1404,47,20260730,61,320,0.98,no
Kim You-jung,individual,32561,1085,20260802,1338,8310,1.14,yes
"Nam Ji-hyun (actress, born 1990)",individual,1519,51,20260708,77,369,1.01,no
Oh Yeon-seo,individual,8980,299,20260710,369,2121,0.96,yes
Park Soo-young (entertainer),individual,1265,42,20260710,57,319,0.97,no
Song Seung-heon,individual,24756,825,20260726,1567,4893,0.77,yes
Ryu Hyo-young,individual,2030,68,20260713,117,433,0.85,no
Andy Lee (South Korean singer),individual,1315,44,20260725,60,306,1.02,no
Jang Hyun-seung,individual,4082,136,20260717,193,1015,1.32,no
Mink (singer),individual,151,5,20260727,15,36,1.13,no
Yoo Young-jin,individual,1905,64,20260724,84,471,1.08,no
Park Hyung-sik,individual,22728,758,20260726,953,5550,1.13,yes
Hong Yoo-kyung,individual,38,1,20260806,4,14,1.75,no
Lee Hae-ri,individual,1211,40,20260803,68,311,1.08,no
"Lee Hyun-woo (entertainer, born 1966)",individual,400,13,20260728,25,100,1.25,no
Lee Chang-min (singer),individual,1366,46,20260709,70,334,0.98,no
Lee Jin,individual,1370,46,20260730,63,338,1.02,no
Stephanie Kim,individual,478,16,20260804,34,132,1.31,no
Lee Seung-hwan,individual,909,30,20260719,61,190,1.03,no
Park Yeong-gyu,individual,897,30,20260718,55,164,0.79,yes
Lee Areum,individual,46,2,20260730,5,7,0.78,no
Lee Joo-yeon,individual,2544,85,20260712,283,513,0.66,no
Thunder (singer),individual,2362,79,20260717,153,585,0.98,no
Kim Tae-won,individual,472,16,20260725,54,93,0.82,no
Samuel Youn,individual,79,3,20260724,7,14,0.78,no
Choi Ran,individual,332,11,20260805,19,87,1.28,no
Yoo Gun-hyung,individual,247,8,20260716,19,62,1.41,no
Kim Kwang-seok,individual,1100,37,20260718,46,238,0.99,no
Kim Dong-ryul,individual,424,14,20260718,28,83,0.98,no
H-Eugene,individual,96,3,20260731,8,28,1.65,no
Shin Bo-ra,individual,230,8,20260730,15,59,1.07,no
Dok2,individual,1594,53,20260803,83,468,1.23,no
Kang Chan-hee,individual,3717,124,20260712,191,985,1.07,no
MayBee,individual,866,29,20260717,37,185,0.9,no
Ryu Hwa-young,individual,5699,190,20260713,250,1281,0.97,no
Son Dong-woon,individual,957,32,20260714,50,215,0.95,no
Ailee,individual,4695,157,20260805,191,1129,1.07,no
Kim Min-jong,individual,1577,53,20260720,68,331,0.97,no
Ji Chang-wook,individual,54577,1819,20260726,2387,12947,0.97,yes
Gill (musician),individual,381,13,20260709,26,107,1.27,no
Hong Kyung-min,individual,940,31,20260713,47,183,0.72,no
Jung Dong-ha,individual,327,11,20260712,21,69,0.84,no
Kang San-eh,individual,127,4,20260731,12,34,1.21,no
Kim C,individual,452,15,20260725,27,99,0.91,no
Lee Jung,individual,376,13,20260729,20,86,1.06,no
Lee Ki-chan,individual,286,10,20260715,15,63,1.19,no
Lee So-ra (singer),individual,880,29,20260716,69,220,1.21,no
Lim Jeong-hee,individual,920,31,20260709,66,216,0.97,no
Park Gun-hyung,individual,580,19,20260729,40,161,1.46,no
Saori (television personality),individual,205,7,20260728,14,50,1.14,no
Shim Eun-jin,individual,863,29,20260708,45,194,0.83,no
Sim Soo-bong,individual,866,29,20260726,47,228,1.18,no
So Chan-whee,individual,290,10,20260801,29,94,1.68,no
Solbi,individual,731,24,20260708,85,161,0.73,no
Taegoon,individual,198,7,20260719,15,45,1.15,no
Yim Jae-beom,individual,818,27,20260724,37,190,1.04,yes
Yoo Chae-yeong,individual,706,24,20260722,61,148,1.09,no
Allen Kim,individual,914,30,20260709,62,185,0.66,no
Jang Su-won,individual,667,22,20260730,53,144,1.2,no
Ji Sang-ryeol,individual,332,11,20260716,23,77,0.92,no
Lee Yong-shin,individual,115,4,20260718,10,29,2.23,no
May (singer),individual,57,2,20260729,8,19,2.71,no
Song Dae-kwan,individual,114,4,20260720,9,24,0.96,no
Im Chang-jung,individual,1503,50,20260711,64,303,0.76,no
Jang Yoon-ju,individual,2439,81,20260711,147,539,0.84,yes
Jo Hye-ryun,individual,2437,81,20260713,348,362,0.41,no
Yang Mi-kyung,individual,874,29,20260802,56,254,1.43,no
Lexy (singer),individual,642,21,20260804,38,167,1.11,no
Lyn (singer),individual,2643,88,20260708,152,572,0.73,no
JeA,individual,1276,43,20260712,67,271,0.7,no
Kim Isak,individual,352,12,20260714,19,89,1.05,no
MC Sniper,individual,259,9,20260806,16,70,1.08,no
Shoo (singer),individual,1776,59,20260806,81,446,1.11,no
"Lee Jai-jin (musician, born 1979)",individual,636,21,20260730,57,150,1.44,no
Park Gwang-hyun,individual,677,23,20260717,71,135,1.08,no
Ahn Jae-mo,individual,539,18,20260716,33,100,0.74,no
Kang Min-kyung,individual,2288,76,20260713,179,551,0.77,no
Kang Sung-yeon,individual,569,19,20260727,33,129,1.1,no
Song Eun-i,individual,2234,74,20260713,251,406,0.53,yes
Moon Joon-young,individual,515,17,20260717,26,96,0.98,no
Soya (singer),individual,1514,50,20260710,113,274,0.56,no
Chanyeol,individual,5533,184,20260724,228,1406,1.13,no
Park Sae-byul,individual,245,8,20260716,12,58,1.07,no
Park Won-sang,individual,1255,42,20260713,68,313,0.91,yes
Keiko Matsuzaka,individual,2482,83,20260709,145,675,1.12,no
Kim Jin-woo (actor),individual,1092,36,20260802,52,278,1.09,no
Gaeko,individual,983,33,20260714,44,223,0.86,no
Kang Ye-seo,individual,2853,95,20260804,136,750,1.29,yes
Ko Ji-yong,individual,4741,158,20260729,1325,912,5.07,no
Gil Hak-mi,individual,61,2,20260717,5,17,2.43,no
Gilme,individual,118,4,20260731,10,33,1.32,no
Gu Bon-seung,individual,149,5,20260714,13,26,0.76,no
Kim Ga-young (actress),individual,485,16,20260711,29,134,1.15,no
Moon Hee-kyung,individual,720,24,20260717,34,178,1.06,no
Bang Min-ah,individual,5972,199,20260726,247,1347,0.93,yes
Min Kyung-hoon,individual,1273,42,20260803,78,325,1.16,no
Park Min-ha (singer),individual,35,1,20260711,4,9,0.9,no
Park In-young,individual,566,19,20260710,30,107,0.68,no
Park Wan-kyu,individual,314,10,20260713,20,67,0.86,no
Park Sang-min (singer),individual,97,3,20260709,6,21,0.81,no
Park So-jin,individual,6007,200,20260713,342,1291,0.84,yes
Son Ji-chang,individual,396,13,20260725,24,104,1.24,no
Son Jin-young,individual,98,3,20260715,6,31,2.58,no
Soy Kim,individual,223,7,20260804,15,78,1.86,no
Eric Mun,individual,4081,136,20260714,180,914,0.84,yes
Jeon Ji-yoon,individual,1084,36,20260718,45,247,1.06,no
Seo In-guk,individual,63286,2110,20260708,3528,11262,0.59,yes
Lee Jung-shin,individual,4065,136,20260726,164,976,1.14,yes
Na Hyeon-hui,individual,54,2,20260724,7,7,0.54,no
Hyun Woo,individual,1442,48,20260726,68,375,1.19,no
Shin Shin-ae,individual,412,14,20260713,59,109,0.93,no
Miryo,individual,1018,34,20260717,53,213,0.85,no
Naul (singer),individual,905,30,20260726,44,174,0.84,no
Rebekah Kim,individual,46,2,20260803,10,21,3,no
Hyun Cheol,individual,85,3,20260710,9,13,0.45,no
Ryan Bang,individual,2780,93,20260723,142,585,0.86,no
Ryu Se-ra,individual,710,24,20260731,53,230,1.49,no
Ryu Tae-joon,individual,315,11,20260710,22,75,0.93,no
Yoon Min-soo,individual,327,11,20260708,17,83,0.99,no
San E,individual,849,28,20260806,51,238,1.15,no
Baekhyun,individual,8362,279,20260805,365,2063,1.12,no
David Choi,individual,1167,39,20260806,93,288,1.21,no
Lee Jong-hyun,individual,5639,188,20260710,270,1277,0.85,no
Kahi,individual,2119,71,20260715,145,451,0.83,no
Zelo,individual,1402,47,20260730,86,375,1.35,no
Roy Kim,individual,2503,83,20260716,105,615,1.03,no
Lee Jun-ho,individual,25607,854,20260806,1022,6414,1.02,yes
Kim Him Chan,individual,18,1,20260711,4,6,0.67,no
Kim Ian,individual,113,4,20260731,9,30,1.36,no
Eum Moon-suk,individual,2770,92,20260727,164,577,1.08,yes
JK Kim Dong-wook,individual,158,5,20260715,14,40,1,no
Kim Hyun-joo,individual,18410,614,20260730,2392,4407,2.06,yes
Kwangchul Youn,individual,181,6,20260711,27,38,0.59,no
Lee Hee-jin,individual,1261,42,20260711,64,249,0.72,no
Lee Ki-seop,individual,639,21,20260709,38,135,0.75,no
Chae Young-in,individual,191,6,20260720,13,47,1.04,no
Simon Dominic,individual,2080,69,20260724,101,453,1.01,no
Crown J,individual,252,8,20260806,16,66,1.06,no
Lee Sun-hee (singer),individual,726,24,20260708,42,170,0.99,no
Yang Ji-won (singer),individual,1795,60,20260724,84,439,1.3,no
Hoya (singer),individual,2093,70,20260719,92,413,0.82,no
Jyongri,individual,122,4,20260718,9,34,1.06,no
"Yeon Woo (singer, born 1981)",individual,53,2,20260805,7,17,1.31,no
Yuny Han,individual,83,3,20260716,6,17,0.81,no
Kangnam (singer),individual,4208,140,20260728,169,891,0.81,no
Juniel,individual,821,27,20260715,54,121,0.43,no
"Joo Jong-hyuk (actor, born 1983)",individual,151,5,20260801,10,40,1.54,no
Moon Jong-up,individual,684,23,20260712,34,148,0.86,no
Kang Doo,individual,254,8,20260719,13,53,0.85,no
Oh Seh-wong,individual,8,0,20260715,2,1,0.25,no
Hong Jin-young,individual,2749,92,20260708,168,603,0.8,no
Maya (singer),individual,551,18,20260804,37,151,1.42,no
Kim Nam-joo (singer),individual,2238,75,20260726,122,569,1.28,no
Roh Ji-hoon,individual,364,12,20260708,24,71,0.65,no
Ali (South Korean singer),individual,1091,36,20260803,62,253,0.85,no
Oh Ha-young,individual,2923,97,20260726,174,666,1.12,no
Uee,individual,7825,261,20260728,319,1771,1.02,yes
Alexander Lee (entertainer),individual,1848,62,20260708,119,363,0.67,no
Sung Yu-ri,individual,2611,87,20260719,118,596,0.89,no
Haha (entertainer),individual,4788,160,20260718,226,1119,1.02,no
Jo Sung-mo,individual,474,16,20260801,30,124,1.29,no
Jung Eun-ji,individual,9007,300,20260726,366,2200,1.04,no
Jung Ryeo-won,individual,9242,308,20260712,402,1745,0.66,no
Qri,individual,2161,72,20260802,120,591,1.37,no
Lee Ahyumi,individual,2018,67,20260806,106,512,1.18,no
"Lee Joon-hyuk (actor, born 1984)",individual,20107,670,20260801,1085,5586,1.21,no
No Min-woo,individual,2844,95,20260731,119,624,0.89,no
Cho Yong-pil,individual,1615,54,20260805,80,440,1.18,no
Jang Wooyoung,individual,5687,190,20260806,293,1642,1.34,no
Kim Kyu-jong,individual,775,26,20260716,38,162,0.81,no
Moon Hee-joon,individual,2075,69,20260802,100,521,1.1,no
Lee Soo-young,individual,428,14,20260710,23,100,0.88,no
Cha In-pyo,individual,1253,42,20260802,53,309,1.04,no
Epaksa,individual,152,5,20260718,12,28,0.72,no
Jeon Hye-bin,individual,3242,108,20260719,150,688,0.88,yes
Kan Mi-youn,individual,1464,49,20260709,91,275,0.56,no
"Lee Hyun-woo (actor, born 1993)",individual,3349,112,20260712,149,756,0.93,no
Brian Joo,individual,2722,91,20260806,190,786,1.58,no
Hyun Young,individual,681,23,20260802,32,170,1.11,yes
Lee Hae-in (actress),individual,759,25,20260712,88,144,0.53,no
Lee Hwi-jae,individual,1077,36,20260708,129,241,0.73,no
Lee Hyun-ji,individual,131,4,20260726,11,35,1.67,no
Im Chae-moo,individual,195,7,20260719,16,46,1.1,no
Lim Han-byul,individual,625,21,20260717,31,123,0.78,no
Zion.T,individual,2692,90,20260714,198,605,0.85,no
J'Kyun,individual,216,7,20260801,17,54,1.13,no
Jay (South Korean singer),individual,696,23,20260714,34,155,0.94,no
Jay Hong,individual,43,1,20260724,4,8,0.73,no
Jeon In-kwon,individual,229,8,20260728,16,44,0.69,no
Jessi (musician),individual,8544,285,20260711,338,1870,0.89,no
Junggigo,individual,315,11,20260730,18,77,1.15,no
Jungyup,individual,168,6,20260730,11,45,1.29,no
Park Eun-ooh,individual,78,3,20260715,8,12,0.63,no
Jo Jung-chi,individual,459,15,20260730,33,96,0.83,no
Chu Ga-yeoul,individual,106,4,20260717,7,30,2.14,no
Crush (singer),individual,4967,166,20260722,239,1397,1.85,no
Ha Dong-kyun,individual,330,11,20260806,19,72,0.96,no
"Kai (singer, born 1981)",individual,277,9,20260727,19,86,1.76,no
Paloalto (rapper),individual,565,19,20260715,92,69,0.95,no
Rumble Fish (singer),individual,110,4,20260729,8,17,0.59,no
Han Dong-geun,individual,229,8,20260715,24,41,0.71,no
Heo Cham,individual,31,1,20260802,3,10,1.67,no
Byun Jin-sub,individual,223,7,20260708,15,49,0.82,no
Bae Woo-hee,individual,1131,38,20260803,58,288,1.11,no
Lee Moon-sae,individual,1214,40,20260715,125,228,0.88,no
Serri (singer),individual,150,5,20260726,27,59,19.67,no
Shin Sung-woo,individual,432,14,20260730,21,102,1.06,no
Lee Hwajungseon,individual,114,4,20260726,9,28,1.33,no
Lee Hwa-ja,individual,78,3,20260712,8,20,1,no
Jang Se-jeong,individual,92,3,20260719,10,29,1.32,no
Park Jin-young,individual,8854,295,20260801,915,5390,158.53,yes
Yoo Young-jae,individual,1068,36,20260710,55,233,0.81,no
Kei (singer),individual,883,29,20260718,43,205,1.14,no
Kim Jae-kyung,individual,3225,108,20260714,141,764,0.89,yes
Kim Ji-sook (singer),individual,485,16,20260718,23,101,0.84,no
Kim Jong-hwan,individual,71,2,20260712,7,17,1.31,no
Kim Jung-mo,individual,407,14,20260717,21,88,1.09,no
"Kim Min-hee (actress, born 1972)",individual,124,4,20260731,16,45,2.05,no
Kim Soo-hee,individual,161,5,20260724,19,27,0.69,no
Kim Woo-joo,individual,93,3,20260718,8,22,1.05,no
Kim Ye-won (entertainer),individual,1931,64,20260728,234,411,1.15,no
Kim Young-chul (comedian),individual,733,24,20260803,58,221,1.35,no
Maeng Yu-na,individual,90,3,20260714,7,21,1.05,no
Bae Ki-sung,individual,189,6,20260724,15,35,0.76,no
Bang Jun-seok,individual,199,7,20260713,14,42,0.86,no
Park Jin-joo,individual,3499,117,20260727,170,826,1.12,yes
Bae Ho,individual,135,5,20260806,10,40,1.38,no
Baek Bong-ki,individual,133,4,20260709,11,22,0.71,no
Basick,individual,265,9,20260730,19,79,1.36,no
Bumkey,individual,426,14,20260728,27,125,1.67,no
Beenzino,individual,1504,50,20260709,112,327,0.66,no
Seo Kyung-seok,individual,135,5,20260802,9,31,1.35,no
Seo Min-woo,individual,797,27,20260717,68,166,0.84,no
Kiwan Sung,individual,24,1,20260710,3,2,0.22,no
Lee Seong-jong,individual,618,21,20260727,34,133,1.08,no
Shin Won-ho,individual,1200,40,20260805,68,303,1.27,yes
Shin Dong-ho,individual,704,23,20260709,47,159,0.94,no
Teddy Park,individual,7727,258,20260713,302,1814,0.94,no
Park Cho-rong,individual,1570,52,20260726,79,382,1.1,no
Shin Ji-soo,individual,140,5,20260719,11,37,1.42,no
Sung Hyun-ah,individual,1092,36,20260717,59,238,1.02,no
Jamie (singer),individual,3190,106,20260721,354,684,1.19,no
"Kim Ji-soo (singer, born 1990)",individual,272,9,20260710,17,68,0.91,no
Lee Ka-eun,individual,119,4,20260727,8,25,0.86,no
Son Na-eun,individual,74106,2470,20260726,7055,11370,0.72,yes
E-Young,individual,35,1,20260727,5,10,1.25,no
Lee Dong-gun,individual,5089,170,20260723,555,1009,0.97,yes
Byul,individual,1892,63,20260806,125,558,1.29,no
Jo Young-nam,individual,1047,35,20260803,62,260,0.93,no
Jung Yoon-hak,individual,224,7,20260717,12,63,1.34,no
Kim Mu-yeol,individual,82126,2738,20260712,4196,13291,0.5,yes
Lee Seo-an,individual,1810,60,20260708,149,271,0.39,no
Park Geon-il,individual,467,16,20260709,29,123,0.98,no
Sunmin,individual,74,2,20260728,8,19,1.19,no
Yong Jun-hyung,individual,11034,368,20260806,522,3223,1.53,no
Woo Hye-rim,individual,2060,69,20260728,86,463,1.03,no
Lee Seo-jin,individual,8061,269,20260724,651,1540,0.98,yes
Seorak,individual,80,3,20260712,9,28,1.56,no
Sang A Im-Propp,individual,83,3,20260730,7,19,1,no
Seomoon Tak,individual,224,7,20260719,16,49,0.91,no
Shin Young-kyun,individual,2568,86,20260720,170,532,0.93,no
Sunny Kim (singer),individual,67,2,20260708,6,12,0.67,no
Yoon Soo-il,individual,161,5,20260714,11,39,1.03,no
Taebin,individual,1007,34,20260710,51,215,0.75,no
Zico (rapper),individual,7493,250,20260719,412,1683,1.09,no
Lee Sung-yeol,individual,1327,44,20260729,79,290,1,no
Yeahwon Shin,individual,45,2,20260721,4,11,0.92,no
Yeo Hoon-min,individual,620,21,20260709,39,127,0.8,no
Yoo Ara,individual,493,16,20260730,28,99,0.85,no
You Hee-yeol,individual,1276,43,20260721,56,306,1.01,no
Yoo Se-yoon,individual,1287,43,20260719,59,297,1.07,no
Jang Dong-woo,individual,694,23,20260723,35,155,1.05,no
Kang Eun-bi,individual,479,16,20260713,36,127,1.13,no
Changjo,individual,652,22,20260723,43,150,1.19,no
Byung Hun (entertainer),individual,1311,44,20260724,118,260,1.01,no
Chen (singer),individual,5871,196,20260806,257,1415,1.1,no
Lady Jane (singer),individual,445,15,20260806,41,130,1.24,no
Ren (South Korean singer),individual,1652,55,20260728,142,407,1.23,no
Lee Yong-jin,individual,2575,86,20260802,118,619,0.95,yes
Suho,individual,7745,258,20260802,377,2148,1.25,no
Xiumin,individual,4955,165,20260725,233,1283,1.38,yes
B-Bomb,individual,1163,39,20260801,64,246,0.86,no
P.O,individual,26168,872,20260712,1186,4291,0.57,yes
Kim Chang-wan,individual,2479,83,20260722,241,522,1.37,yes
Kim Yeon-ji,individual,967,32,20260801,44,245,0.91,no
Kim Yon-ja,individual,270,9,20260726,18,50,0.67,no
Kim Yuna (singer),individual,764,25,20260718,60,194,1.54,no
Na-mi,individual,323,11,20260803,23,109,1.45,no
Go Woo-ri,individual,1109,37,20260713,61,266,0.86,no
Im Hyun-sik (singer),individual,1515,51,20260724,93,310,0.94,no
Lee Gi-kwang,individual,3679,123,20260710,221,675,0.58,no
Wonho Chung,individual,163,5,20260714,10,35,1,no
Lee Hye-ri,individual,48112,1604,20260714,3377,10358,0.92,yes
Yoo Jae-ha,individual,896,30,20260722,62,173,0.89,no
Mir (singer),individual,690,23,20260717,34,159,1.03,no
Rihwa,individual,83,3,20260806,7,22,0.92,no
Park Hee-von,individual,2115,71,20260712,119,458,0.83,no
Verbal Jint,individual,737,25,20260717,38,162,0.87,no
Yoon Do-hyun,individual,1176,39,20260708,52,258,0.88,no
Yozoh,individual,109,4,20260720,7,27,1.42,no
Okasian,individual,558,19,20260715,28,129,1.1,no
Lee Mi-ja,individual,288,10,20260729,18,73,1.07,no
Lee Nan-young,individual,768,26,20260725,63,133,0.58,no
Lee Sang-min (singer),individual,2883,96,20260718,114,606,0.84,no
Lee Sang-yi (actor),individual,36495,1217,20260801,3822,15164,3.21,no
U Sung-eun,individual,245,8,20260709,18,56,0.92,no
Yeon Min-ji,individual,191,6,20260718,14,34,0.71,no
Yoo Seung-woo,individual,385,13,20260716,21,88,1.01,no
Yoon Bok-hee,individual,262,9,20260708,17,62,0.84,no
Yura (South Korean singer),individual,4434,148,20260805,179,1058,1.01,no
E Sens,individual,378,13,20260713,31,79,0.66,no
Lee Jae-hoon (singer),individual,422,14,20260728,30,84,0.76,no
Lee Seok-hoon (singer),individual,872,29,20260726,47,203,1.01,no
"Lee Soo-min (actress, born 1984)",individual,88,3,20260806,9,25,2.5,no
Lee Yoon-mi,individual,533,18,20260708,48,70,0.36,no
Chun Myung-hoon,individual,307,10,20260728,19,54,0.7,no
Jin Chae-seon,individual,191,6,20260722,17,45,1.15,no
Jinu,individual,949,32,20260709,72,187,0.79,no
Joo Young-hoon,individual,296,10,20260726,22,65,0.94,no
Pearl (singer),individual,698,23,20260726,41,219,1.96,no
Zia (singer),individual,475,16,20260719,23,116,1.12,no
Choi Soo-eun,individual,163,5,20260711,11,50,1.16,no
Choiza,individual,2518,84,20260716,113,586,0.93,no
Cha Woong-ki,individual,1977,66,20260727,118,391,0.87,no
Yuri Nakamura,individual,935,31,20260713,75,196,0.71,no
Kim Min-ki,individual,329,11,20260712,18,76,1,no
Choi Jin-young,individual,1851,62,20260708,159,342,0.58,no
Kim Won-jun,individual,473,16,20260719,30,116,1.16,no
Kim Jong-wook,individual,81,3,20260721,7,14,0.93,no
Kim Soo-chul,individual,313,10,20260724,23,94,2.54,no
Park Ji-yoon,individual,2736,91,20260714,300,594,0.76,no
Yang Dong-geun,individual,3526,118,20260802,154,890,1.22,yes
Yi Seok,individual,4913,164,20260805,469,1748,1.92,no
Choi Min-soo,individual,2974,99,20260726,159,748,1.28,yes
Hwangbo,individual,717,24,20260802,38,176,1.13,no
Shin Seung-hun,individual,692,23,20260728,35,169,1.02,no
Kim Sung-kyu,individual,2191,73,20260712,98,461,0.86,yes
Bae Seul-ki,individual,554,18,20260716,27,146,1.15,no
Narsha,individual,1266,42,20260714,56,278,0.8,no
Jee Seok-jin,individual,3460,115,20260802,151,912,1.16,no
Son Ho-young,individual,2408,80,20260711,329,384,0.4,no
J-Min,individual,639,21,20260711,36,135,0.78,no
Kim Hyun-joong,individual,13126,438,20260710,593,2811,0.77,yes
Leeteuk,individual,5469,182,20260715,253,1119,0.85,no
MC Mong,individual,1678,56,20260805,232,633,1.88,no
Chae Jung-an,individual,3727,124,20260725,175,847,0.95,yes
Eugene (actress),individual,7944,265,20260726,354,1938,1.16,no
Ock Joo-hyun,individual,1387,46,20260708,76,313,0.85,no
Park Jung-ah,individual,1056,35,20260716,53,207,0.89,no
Joo Hyun-mi,individual,288,10,20260721,31,69,1.3,no
Jung Joon-ho,individual,2482,83,20260805,112,616,1.04,yes
Kim Wan-sun,individual,899,30,20260728,41,199,1.01,no
Choi Jong-hoon,individual,7307,244,20260714,330,1553,0.83,no
Kim Hyun-jung (singer),individual,439,15,20260801,31,132,1.55,no
